,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p3-0014-0072-0012,0,236.0,35,16.86759196171316,16.86759196171316,28.14864096740132,21.842324258832406,17.084278106689453,28.745979171688276,28.745979171688276,0.3230635975724307,0.3230635975724307
p3-0014-0087-0044,1,160.0,22,25.6333400785923,25.6333400785923,36.26811402631478,30.698617826650825,25.45494270324707,31.735040220568052,33.538037824630734,3.9682801173029727,6.072233133763075
p3-0014-0088-0076,2,129.0,19,28.93316614165787,28.93316614165787,39.4898978201541,32.69236743898189,28.61945343017578,29.06425459206112,31.22301031452741,5.372499950554083,8.355634246498
p3-0014-0089-0109,3,161.0,22,33.09151546999534,33.09151546999534,44.43092946810499,37.05550064857596,32.82403945922852,29.96563434447292,30.90726502341513,4.722011252666135,7.802693607482295
p3-0014-0091-0141,4,208.0,25,35.01015753929432,35.01015753929432,42.03265094892415,38.601378971180466,35.483802795410156,29.13217953161244,31.7019429573646,6.3844178827101645,11.484054396358822
p3-0014-0104-0174,5,93.0,15,31.435657911403204,31.435657911403204,39.72828092597629,34.70778824275133,31.80124855041504,22.49985427939233,21.12970870540988,4.879866799949851,7.385194398462772
p3-0014-0074-0203,6,119.0,15,29.22169575571012,29.22169575571012,41.51976608488246,34.07932369103828,28.863739013671875,17.749177050066002,17.353140591573315,6.667716344567444,9.272118047004987
p3-0014-0076-0236,7,121.0,21,35.935180112350075,35.935180112350075,46.1068349393398,40.11836237186715,35.46575927734375,22.89573583187512,24.2734832941008,5.683212119435095,8.383843930792217
p3-0014-0079-0271,8,129.0,18,32.284334885057554,32.284334885057554,43.39793600954216,36.90380230850729,32.21363067626953,22.004651826291735,19.9260185804478,7.2816975844388665,9.091593101505161
p3-0014-0076-0301,9,118.0,17,38.423080945419045,38.423080945419045,46.64861472529933,42.2421391328285,38.42459106445313,22.535740492697528,23.88584949606556,10.28102198558721,14.148435556282429
p3-0014-0084-0334,10,168.0,18,36.77422263508751,36.77422263508751,45.53616023146243,39.65604362118169,36.42879104614258,15.280114734134646,14.693391109151499,8.917029492898232,11.5460709683331
p3-0014-0081-0364,11,146.0,19,34.947205347557585,34.947205347557585,44.18532263180334,39.200948600975686,34.804466247558594,22.312374932345325,20.040115997909684,10.633076054517147,12.612119712241707
p3-0014-0079-0397,12,135.0,18,40.500502098931214,40.500502098931214,50.89616824722202,44.546509155776356,40.00588607788086,18.27963110184693,17.506501720569748,11.961196752501069,14.884796424706776
p3-0014-0081-0429,13,152.0,23,40.105058921010865,40.105058921010865,50.5566529146874,43.67243776776166,39.71951293945313,18.471344317258257,17.191406339603034,12.137643335369408,14.28070860914886
p3-0014-0079-0462,14,146.0,18,37.37587138398053,37.37587138398053,47.72495056673893,41.21636940474513,37.013916015625,20.52902542278014,19.419850787071333,14.622278417892725,16.839820119616107
p3-0014-0080-0493,15,188.0,25,39.543860912323,39.543860912323,50.4266257660571,43.54963434961083,39.4857063293457,18.642122581369357,19.02480654323355,14.188620475985276,16.27854400159831
p3-0014-0081-0525,16,142.0,20,42.53581291521099,42.53581291521099,55.98167450476213,47.681608183862174,42.14990997314453,19.695554947492816,19.426866864864255,15.766817955080414,16.468330633472387
p3-0014-0081-0557,17,193.0,27,42.181511498485825,42.181511498485825,50.45552068797494,45.69508230201056,42.08361053466797,17.743500609301226,16.453347081965116,14.45218516617088,15.008384883712608
p3-0014-0080-0590,18,196.0,22,41.031405001270535,41.031405001270535,52.1964397335249,46.24408581844955,41.18225860595703,16.950342433389018,15.81336093963865,15.726472330058336,15.515415722010086
p3-0014-0083-0620,19,165.0,22,42.93402140068285,42.93402140068285,52.6515347537309,47.2192894331767,42.75235366821289,17.62286540612216,17.45572962381623,17.849107041562437,17.453302146449232
p3-0014-0085-0652,20,177.0,21,43.55216585579565,43.55216585579565,51.177893735920975,46.44635027187444,43.68115997314453,16.714846318145927,16.25901112280323,13.3457465122745,12.538039515247453
p3-0014-0082-0686,21,175.0,19,42.707016699654716,42.707016699654716,52.42037537838818,46.64139099481987,42.29799270629883,16.598725514211868,16.54552327292306,14.747793422231611,13.85485877428736
p3-0014-0084-0718,22,186.0,22,48.783539413124,48.783539413124,56.74738993558493,52.629863562292506,48.66194915771485,15.436593739611004,15.993638010755664,16.979704472556804,16.657800979511713
p3-0014-0081-0749,23,236.0,27,44.406284235291565,44.406284235291565,53.40280272359478,49.14080174071316,44.58971405029297,13.973690893557608,13.344991104140625,17.33134711311683,15.05032298524501
p3-0014-0081-0782,24,179.0,23,45.677320522969,45.677320522969,59.138444724286316,50.7011275242766,46.024635314941406,15.24837314780002,15.106422618780725,15.58859418752807,14.578484491499756
p3-0014-0080-0813,25,165.0,19,45.27491609977953,45.27491609977953,54.07460965818458,48.476218536602794,45.48913192749024,15.40629077119339,14.894211070284701,19.530228644556892,17.643436800349843
p3-0014-0081-0845,26,218.0,25,45.18874950583921,45.18874950583921,53.96625370099268,49.408079768453184,45.64618301391602,17.154942138831636,16.639710877261578,17.351326428923596,15.359569284073805
p3-0014-0086-0876,27,265.0,28,46.66296052752801,46.66296052752801,58.423295406819726,51.9580566277027,47.01358413696289,13.843048630336941,14.071683566806449,18.0952026463243,16.55840886687895
p3-0014-0086-0908,28,240.0,27,47.746126047770176,47.746126047770176,57.354183295859606,52.463717761264924,47.89813995361328,14.40511695575919,15.033169292161864,17.22052037964138,17.046113028128946
p3-0014-0083-0941,29,214.0,27,48.79317223023031,48.79317223023031,59.04453622805333,53.35223661023854,48.55841064453125,14.073119822521871,14.77980658467685,20.132447826093678,18.61957838602155
p3-0014-0079-0973,30,124.0,16,43.58769836733418,43.58769836733418,50.628890219481995,47.45767253899889,43.810997009277344,14.399544080382014,14.652885677353026,18.528417359838677,17.69962759556309
p3-0014-0075-1005,31,102.0,11,39.36638140210919,39.36638140210919,49.422527229412104,43.578529271528666,39.17646408081055,14.906865127471233,13.611244429706359,15.194002377253216,12.93236812598565
p3-0014-0081-1037,32,150.0,16,48.10741401672363,48.10741401672363,56.31396610681729,51.9219379753054,48.42063903808594,14.061495928894287,16.376016213099167,16.531392533674993,17.730836968421933
p3-0014-0082-1070,33,125.0,17,48.92471896362305,48.92471896362305,61.04550957086386,52.36258553455248,48.49627304077149,13.238046312486587,14.207538774490356,20.3255364696225,18.816099571228023
p3-0014-0085-1100,34,121.0,14,41.06340378375093,41.06340378375093,49.87039851913866,44.99438044550291,41.92342758178711,13.787716914703214,12.967739180099866,21.41317604889864,17.889373523144684
p3-0014-0081-1133,35,123.0,17,47.05634852153499,47.05634852153499,55.779410051337244,51.38738191982532,48.20694351196289,12.690552323412687,13.505647806617302,17.930867653786088,17.12503348714937
p3-0014-0083-1165,36,138.0,18,46.69588444198387,46.69588444198387,58.705020895518686,51.098432700646924,46.89974212646485,12.596373551840752,13.21259925050148,17.01199661294818,16.3314149155133
p3-0014-0083-1197,37,139.0,19,40.74918730481922,40.74918730481922,49.50198826468618,44.72710241776287,41.544517517089844,12.083570607145178,10.967927316109913,15.95007352017698,14.866694261701847
p3-0014-0084-1228,38,101.0,15,43.99025242871577,43.99025242871577,53.22220946160827,47.71050310578001,44.29187393188477,11.270550086736046,10.704679269601804,18.252816079969186,15.704381975206998
p3-0014-0083-1261,39,159.0,18,46.58457546114172,46.58457546114172,57.47698671401042,51.445171763661,46.76533508300781,12.412340226971967,12.888854917677696,16.75326026670449,16.75071244119848
p3-0014-0084-1293,40,128.0,15,40.78706623613834,40.78706623613834,51.80635828763404,46.164624783175476,41.14601135253906,10.786254200772932,9.93593787552527,19.817508948141104,16.31924619153142
p3-0014-0083-1325,41,119.0,15,46.17460329392378,46.17460329392378,56.71849501366708,50.766141098591746,47.22894668579102,18.593451293237166,18.872475107176964,19.627103355752556,18.13101730026117
p3-0014-0082-1357,42,147.0,19,45.83901345648733,45.83901345648733,59.54297363113609,50.527757992769544,45.71229553222656,16.31220074300094,15.791274132777236,20.571519383555476,18.6532542348719
p3-0014-0084-1390,43,132.0,14,46.082557316982395,46.082557316982395,57.08690526811957,49.733147640028896,46.12279891967773,14.54063224903219,14.251804700403502,18.083881846950476,16.74803579937328
p3-0014-0085-1421,44,111.0,14,47.582534240172784,47.582534240172784,57.722593550312084,52.644311023251426,48.12179565429688,14.720103608160693,15.116994183342733,17.481132316092612,17.93614858764786
p3-0014-0085-1453,45,104.0,14,50.11528662534861,50.11528662534861,63.31376094141442,54.970352237637684,48.68634796142578,16.111832492664604,16.541876485714546,18.501924942451858,19.73587567072648
p3-0014-0086-1484,46,117.0,14,48.65850442937569,47.493411316830894,63.89888311025068,52.58652117941576,47.77398681640625,17.952449156232742,17.411428563615196,20.31042133039673,19.09479647620111
p3-0014-0084-1516,47,146.0,16,52.18719059125766,52.68829904843683,66.02988360169151,58.13434618764133,52.240882873535156,17.348163824365713,17.30861927058599,18.683740968508168,18.516786274844648
p3-0014-0085-1549,48,128.0,14,51.0634350038649,50.65467792749405,60.06308222565725,54.63083690510304,51.10395812988281,17.31718191333489,17.437177617102858,19.90829044664798,19.032486215233806
p3-0014-0083-1581,49,136.0,16,50.30634650214562,46.23169541358948,58.37272929346351,52.91158905099146,46.32794952392578,16.352889840633424,15.545986918842091,17.203341627913748,15.979607394512962
p3-0014-0085-1611,50,120.0,13,50.02327704200625,46.1597387154897,60.36647890579458,52.94770770338878,45.58241271972656,18.78909696180871,16.96670615275701,17.97564174592352,16.40530417362849
p3-0014-0086-1645,51,132.0,16,51.203969629660904,48.34275151744035,63.024811722236,54.19018934585596,48.88486099243164,17.5801254386508,15.920907653642425,20.573839049815728,19.11959226926168
p3-0014-0085-1677,52,144.0,16,47.72045808850177,50.34645169311099,65.00411387360813,57.66480370647639,50.34972381591797,16.524323398289894,16.806842809749973,17.281279205559258,17.15703814269768
p3-0014-0086-1710,53,124.0,15,52.055254919522476,55.05276889185752,71.12261358971107,63.4076694376474,54.18551254272461,19.391558346445937,20.2226863782252,19.21301345585789,20.431769659442285
p3-0014-0083-1741,54,135.0,18,53.66347248067697,56.54111506144206,74.18547531300226,63.34265586333226,55.82510375976562,18.76862738151761,18.94561750977128,17.20304857920786,18.02949468647992
p3-0014-0082-1773,55,153.0,19,51.23276047746289,53.21617414437088,72.99355978389131,60.05585849517777,54.22315216064453,19.666405294930954,19.27995788817312,16.899937291156622,17.325205466326544
p3-0014-0085-1805,56,101.0,11,53.521431704712974,50.604793473045426,66.15268701984233,56.884640814694684,50.71255493164063,22.53394899028463,21.0141915141946,18.716196317216664,18.33278201830269
p3-0014-0085-1837,57,130.0,16,52.77531434697282,56.49880457658034,73.87485490238548,64.76573076778594,58.42882537841797,21.548400683541523,22.758433668430037,19.019363713114323,20.963879291827862
p3-0014-0084-1869,58,120.0,15,51.881969422034494,55.15819934209188,69.85123702532604,65.02578506504652,55.86144256591797,19.75403555606147,20.80982519785563,18.286422805645614,19.56741403390964
p3-0014-0084-1901,59,102.0,14,58.520052776579334,53.81373080085306,66.81727022395269,58.48108525065543,54.06541442871094,21.316943068969547,20.047594326968287,20.07360940292559,18.6740691615086
p3-0014-0082-1933,60,163.0,16,55.196073238837926,59.50060929842522,74.871729708551,65.20637832703302,59.55881118774414,21.462416463580304,23.58056336970417,16.3749040399599,17.763477723291317
p3-0014-0084-1964,61,113.0,14,58.06116649727567,58.36427246363817,76.57653010170365,64.43343916573076,58.9755744934082,21.798913756798523,22.658468934287015,16.912476612417787,17.379647305581422
p3-0014-0083-1997,62,141.0,16,51.444509911438935,47.70491272676075,58.401624215381354,52.67320594516928,47.17816162109375,17.515867220670206,16.3048620934182,15.083591356221481,13.681177348532573
p3-0014-0082-2028,63,89.0,14,58.06031659855512,55.10053167450293,67.24347032224085,59.167339646204155,56.00322341918945,25.35035565430089,23.426940778668012,21.695944423379245,20.74392922004957
p3-0014-0084-2060,64,121.0,14,55.0496196124352,56.39984521787029,69.12886397738,62.743086233537035,57.1358757019043,23.259565988092863,24.2559444411727,19.310718153471676,18.688942747667802
p3-0014-0083-2091,65,100.0,11,54.699542865338096,54.427045974731435,70.86978302292997,60.258122948602676,52.96600341796875,24.769223462737216,25.19371682167053,18.427748027841954,18.04321336746216
p3-0014-0085-2124,66,126.0,12,53.58893596475519,56.869758545406285,69.6417488414217,64.16616113799073,57.34722518920898,23.451796309889207,24.624282677968345,16.2007002189715,17.905359608786448
p3-0014-0084-2157,67,128.0,13,57.2538316558626,60.46801906824112,74.95841447430453,66.29716162943154,61.1182861328125,24.471447571414583,26.79780548065901,16.981141030653866,18.992492336779836
p3-0014-0086-2189,68,186.0,17,52.691988918906375,55.241802133539665,71.97501378628739,61.79677754072773,55.31167221069336,23.25330689805397,24.194570382436112,15.16889972388532,16.15459795905057
p3-0014-0085-2220,69,129.0,13,58.21853193155681,55.39457318209864,68.8760334105989,62.006265724632094,54.64266967773438,25.787113728590356,25.12951986179795,18.884124360067524,17.82034841526386
p3-0014-0085-2251,70,146.0,14,54.99973824508901,56.31980538041624,69.23721993457191,64.44788662668968,56.258583068847656,26.71598254009531,27.327971510691185,17.207508005702636,17.166161675975747
p3-0014-0086-2284,71,120.0,15,55.97808031794317,53.39572003682454,67.77802637772092,60.89381123079518,53.756309509277344,25.27860208697979,24.386059776941927,16.00804548101711,15.305065582079502
p3-0014-0084-2315,72,121.0,13,56.81705878742756,54.69066440172432,68.73878253148915,62.230201369495354,53.88637161254883,25.685363911198145,24.704398900024167,18.537447099042694,17.747016544184405
p3-0014-0084-2348,73,133.0,13,60.266792445399865,59.35160555158343,74.14935666060498,65.9937649492942,59.0739860534668,27.891863690421133,27.76006083380907,18.6605743002017,18.372916745063954
p3-0014-0085-2380,74,159.0,17,58.50800096985735,58.662051794663924,74.32272619211201,66.2321480551164,58.67512130737305,26.92308283144275,27.84685307028908,15.843306922987221,15.08272624473269
p3-0014-0084-2413,75,170.0,16,58.33657141995007,62.182598585240974,74.95841447430453,68.14643663217339,62.35602188110352,25.405274551297904,28.18294543098001,16.391899223696086,18.48940231098848
p3-0014-0085-2444,76,180.0,15,52.46677409808172,53.72020938661364,69.62007764998332,60.93715361367195,52.46452713012695,25.95707472209848,28.571478917863637,14.995922675896473,16.2823990388049
p3-0014-0086-2475,77,136.0,14,61.049738193084075,56.073232145870435,72.99355978389131,65.1919308660741,55.88314819335938,27.163308979165038,26.50387447020587,16.287924254938645,14.289877953226952
p3-0014-0086-2509,78,181.0,14,59.40611748867152,61.45868429953222,78.88090012465152,68.90492833251673,62.509986877441406,25.28342372915868,28.38689174968235,14.978850416205367,15.990801065501588
p3-0014-0085-2540,79,220.0,18,63.195372663000285,65.34559626145797,84.7537930044528,74.871729708551,64.76863861083984,25.33594616374081,28.56522882201455,14.334006548228661,14.790781450271606
p3-0014-0085-2573,80,171.0,15,70.9846689843188,65.89138834100021,86.63196292911249,76.15755373389494,65.83351135253906,27.327379032311196,26.953658990692677,14.090258156338287,13.93634974921656
p3-0014-0086-2605,81,163.0,15,72.80231580505517,75.92457582906711,100.32815591816936,87.33988851609959,75.52250671386719,25.89330406683452,28.41872652322968,14.590582705490586,16.104842850035688
p3-0014-0087-2637,82,180.0,17,76.98498350121679,79.35187640719944,105.4425570976273,92.44706596507808,77.75007629394531,26.897009034199368,29.069653161366784,17.585891729227058,17.8551973786619
p3-0014-0087-2669,83,157.0,13,84.91472765852109,88.95042647829482,126.44194160141863,105.33420114043541,85.47665405273438,26.977581758182414,29.73488573815413,15.712676456591428,16.629313833394626
p3-0014-0088-2701,84,149.0,14,91.1977112760694,82.07837787090531,118.5030618044917,102.35080045241828,77.64901733398438,25.85983045607437,23.87459589170929,14.771614493372756,14.03251632348003
p3-0014-0087-2732,85,145.0,14,101.7873767502577,106.13687657323376,140.3692939658182,123.57412060107285,107.08206939697266,26.483546532644638,27.73547915096941,16.22886257446201,17.921138454305716
p3-0014-0087-2764,86,143.0,14,105.65669793396233,98.66741076382723,133.3911703226595,119.80333329079453,98.07207489013672,27.620739159541234,25.772803546665436,13.74756814967078,12.881672789166858
p3-0014-0088-2797,87,146.0,14,121.20657027244762,123.89341435367113,174.14745768777493,153.19141556686037,122.13328552246094,23.24780990130765,23.288903242921176,13.218754185567914,13.178790926729164
p3-0014-0088-2829,88,135.0,14,133.53383226582196,123.57621988367151,186.70230126107705,160.03228833090935,124.68160247802734,23.320150460850158,21.256314680311416,13.751756309973102,12.46765468319257
p3-0014-0086-2861,89,164.0,15,130.3726708320568,129.7703008884337,178.69840788983498,155.084032952479,126.02115631103516,24.005509362766126,24.658700192846908,13.012689542134806,12.143687254226787
p3-0014-0087-2893,90,156.0,15,142.10690922268645,149.58055638044308,211.09683909021476,183.0109749860728,143.99508666992188,24.839346939902196,26.761956679515354,14.64748735506614,15.075236603426628
p3-0014-0087-2925,91,148.0,14,149.47989429892993,165.23361139039739,234.7617801409269,200.09509756999657,161.89129638671875,24.170216092656652,27.12657391058432,12.149556477199452,13.324871537653177
p3-0014-0086-2957,92,142.0,14,158.22762969857288,166.26881140050753,236.928899284765,202.9340236484245,166.18307495117188,26.521676647959623,28.182344987358853,11.358587633750643,12.038766860122411
p3-0014-0087-2989,93,147.0,15,161.84810305046918,162.55727947001552,236.28598727209305,197.27784268300704,159.8338165283203,24.027464585051362,23.561194202526888,13.929210557521666,13.579174840125908
p3-0014-0088-3021,94,134.0,14,167.9608318554827,180.06098727325897,271.88453107487373,227.13352075461674,184.4892120361328,25.266189533812646,25.893502954226822,11.534670108197094,11.507714252863355
p3-0014-0086-3053,95,203.0,17,149.67445450619687,144.92814906829685,201.0486299932853,172.5148945994169,142.1488494873047,24.321665022203216,25.29620213344179,10.157336133734827,10.200071473354749
p3-0014-0094-3085,96,223.0,18,149.91605244288837,151.7087069455818,211.2846560826807,175.76557331517404,152.345703125,22.894351037158664,24.62043325141941,8.321555864180118,8.271737484386684
p3-0014-0094-3116,97,233.0,18,145.88350725045012,148.65706107340142,209.86880490870647,178.9512384566161,149.6073455810547,24.404813500401062,26.76052510994187,8.590365015009336,8.158382294915393
p3-0014-0093-3149,98,230.0,18,141.41680367668033,149.19718302851138,207.1743534398677,173.8729559295554,148.59268188476562,24.351032506846142,27.26929382655932,8.141541786809645,8.600353975172924
p3-0014-0094-3180,99,217.0,16,143.57184125788652,127.56709808138659,183.1698970566209,151.26267952884444,126.88298797607422,25.15826382646593,23.910148875504603,7.274576824830932,6.4125743361387375
p3-0014-0093-3212,100,220.0,17,149.18988915959838,142.1099364194003,202.0382810689714,169.89990416585218,141.02764892578125,25.218415114306584,24.824739759618588,9.395616241515059,8.622130286219445
p3-0014-0094-3244,101,223.0,17,140.70518811502336,126.263084856384,177.00805495764118,153.075835879189,124.91753387451172,24.389073064528347,23.220307722219967,6.983494062929468,5.787706871237187
p3-0014-0095-3276,102,210.0,16,146.66842351645013,127.26318283081056,177.12363464531256,153.6826292394637,126.92376708984376,22.20904642882816,19.876215171813964,7.633047268681333,6.13952463769487
p3-0014-0093-3308,103,207.0,16,144.15505503677204,148.5389815989324,204.07537306417927,175.5994275141464,145.13829040527344,26.65039832306647,26.927756866971077,7.710117931975732,7.977903607260924
p3-0014-0093-3340,104,153.0,15,184.4893713603216,202.81597915350218,301.05395475093474,246.98433211217383,192.91636657714844,23.94806300212516,24.61264072368348,7.787666399350414,8.652180927836039
p3-0014-0094-3372,105,147.0,14,185.51868652784452,201.97282347387198,300.37492408586553,255.8695206019101,202.3450164794922,22.609449725770308,22.856796225722963,9.367999314226426,9.395387872242603
