,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p6-0050-0084-0014,0,149.0,23,21.943365670090557,21.943365670090557,37.18328922240005,27.36654333247194,21.2217960357666,36.516303273655424,36.516303273655424,2.645559566783025,2.645559566783025
p6-0050-0087-0047,1,172.0,26,31.396270918291673,31.396270918291673,43.09374964951178,35.745108113762186,31.44782447814941,35.6912402382215,37.719005767689204,4.71470844731098,7.2144122903430175
p6-0050-0090-0078,2,220.0,32,36.40522203445435,36.40522203445435,46.434041256670675,40.71843117330989,36.15497970581055,33.570215660177624,36.06365291422064,6.186083031600036,9.620967465097252
p6-0050-0082-0110,3,93.0,13,36.717604893510064,36.717604893510064,43.381385871239345,39.74417945455521,36.965965270996094,32.723101515650626,33.7513819766301,5.324720837666023,8.798616313806145
p6-0050-0081-0142,4,119.0,15,38.827781853555635,38.827781853555635,51.50015019419502,43.70613644415757,38.88351058959961,34.88391149941705,37.96103794033788,6.72658352967289,12.099529287644794
p6-0050-0084-0174,5,112.0,15,35.33896904332297,35.33896904332297,47.39901438762771,41.33081796795568,34.686874389648445,35.76302781045826,33.585211294037954,5.563494778193349,8.419797538779676
p6-0050-0086-0205,6,89.0,13,35.54863014649809,35.54863014649809,46.072176332561796,41.089574685216434,35.47563552856445,35.54827572898371,34.755088913306764,7.411922416354864,10.307010083846496
p6-0050-0084-0238,7,107.0,15,44.86418298026111,44.86418298026111,51.416642904016044,48.855752671860884,45.56407928466797,39.49736922089873,41.87411747691787,11.243843780498338,16.586857829138502
p6-0050-0086-0270,8,101.0,16,39.708135548204474,39.708135548204474,51.85273653050624,43.659743505169246,39.50687789916992,37.64706179347071,34.0907940156389,11.981878508599305,14.960023089210587
p6-0050-0087-0302,9,112.0,16,48.21472213949476,48.21472213949476,59.38694982220909,53.383703517120715,47.65184783935547,38.150254687514234,40.43582424095699,13.796288803420271,18.986040816243207
p6-0050-0088-0335,10,108.0,15,49.46512005064222,49.46512005064222,61.90144711537593,54.497134052840366,49.32220077514648,37.14471001873288,35.71843284147757,16.432613179925763,21.277502572094953
p6-0050-0089-0367,11,99.0,15,42.45791783958975,42.45791783958975,51.453757255206696,45.96083327898983,42.79551315307617,34.93304887435058,31.37551935754641,16.996091513708368,20.159428909571485
p6-0050-0089-0399,12,126.0,18,48.63684655749609,48.63684655749609,61.14060291596751,55.23014248885579,48.12268829345703,37.073776679411644,35.50575674147833,18.574598882919652,23.11467061061708
p6-0050-0090-0431,13,128.0,16,46.310653030872345,46.310653030872345,58.79312020315861,51.286742674848746,45.66930770874024,36.20911398370148,33.70006974041462,17.123433517606273,20.146807555342097
p6-0050-0089-0463,14,125.0,17,51.06650433349609,51.06650433349609,59.591078753757685,55.53633588617868,51.47117233276367,35.43197702625949,33.517602164268496,21.59239166501446,24.86698592376709
p6-0050-0090-0494,15,124.0,17,54.99806754819809,54.99806754819809,65.17678860795118,59.693143219532,55.46219253540039,37.40859570909881,38.176516290633906,22.164801605666973,25.429582730416328
p6-0050-0090-0525,16,128.0,17,54.78485137224197,54.78485137224197,64.4808945231264,58.431255279049736,54.51520919799805,35.9890542130786,35.498089119791985,22.170206146098074,23.15662463195622
p6-0050-0092-0559,17,135.0,18,49.535992233841505,49.535992233841505,60.85296669423994,54.088876189743154,49.79534912109375,35.77907302228311,33.1775290383233,24.068265324983674,24.994544792175287
p6-0050-0092-0591,18,124.0,18,51.244338589329864,51.244338589329864,60.231301311796464,55.517778710583364,51.91542053222656,36.412434856484246,33.9699907149038,23.411033592120965,23.096846580745712
p6-0050-0092-0622,19,119.0,16,52.86537022951271,52.86537022951271,64.90770956181893,58.12506188172684,52.43778610229492,34.026704310540026,33.703994029710266,26.472515181165456,25.885485753291803
p6-0050-0093-0655,20,113.0,16,49.63712401938649,49.63712401938649,61.14060291596751,53.61566821206232,49.26662826538086,32.557803476935824,31.66991061657931,28.273546828262518,26.56238428048328
