,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p7-0044-0082-0015,0,384.0,40,22.94897394897028,22.94897394897028,38.98821510752378,28.80805006094889,22.581382751464844,30.39918002548317,30.39918002548317,1.49508493047324,1.49508493047324
p7-0044-0070-0047,1,212.0,21,37.63229102008748,37.63229102008748,56.15671901689784,42.44794037147255,36.80229187011719,29.01852811791843,30.66718954410193,3.1096563310326095,4.758373312805799
p7-0044-0070-0078,2,213.0,21,40.76419027086715,40.76419027086715,56.40930957820383,46.466426574067896,41.060768127441406,31.048186724365657,33.35429956655547,2.594083997628788,4.034475065308116
p7-0044-0070-0111,3,213.0,23,44.05473663437535,44.05473663437535,57.45794312059539,48.06616679567253,43.58934783935547,32.85337343516782,33.88574752001695,3.3939375032891017,5.608172671370943
p7-0044-0070-0143,4,218.0,23,50.042652795074176,50.042652795074176,66.26799572857111,54.778952318865144,49.07482528686523,33.097478782907004,36.01702314341833,4.848477501597382,8.721261732985154
p7-0044-0072-0176,5,219.0,23,44.964212138903186,44.964212138903186,56.937453479116364,50.05627424838642,44.66159057617188,34.700709970661535,32.587584099268796,6.151398854644589,9.30953204798508
p7-0044-0072-0207,6,241.0,23,43.849938934769376,43.849938934769376,54.120686007582854,48.42591698904775,43.63119888305664,32.60016538932214,31.8727596053444,6.047975976324761,8.410307862544705
p7-0044-0071-0239,7,236.0,23,56.23237771502996,56.23237771502996,69.4904389500809,60.9942109788793,56.09496307373047,35.721436410487655,37.870968477200655,7.121099663045169,10.50500789622508
p7-0044-0072-0271,8,257.0,26,47.47442951276609,47.47442951276609,59.1036088988011,51.38811538981802,47.36190795898438,34.523699985520594,31.262475444185128,7.071172862676041,8.828741604875383
p7-0044-0072-0304,9,251.0,26,57.70648258710762,57.70648258710762,73.70028163851413,61.90506785146758,56.59626007080078,32.54248530727606,34.49209519116527,8.130843977467222,11.189424766784173
