,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p8-0008-0100-0015,0,284.0,34,20.018408734193986,20.018408734193986,34.890849583251004,26.016562468532467,19.894397735595703,28.94420284956274,28.94420284956274,2.1564096111778013,2.1564096111778013
p8-0008-0090-0045,1,173.0,20,26.185544719585792,26.185544719585792,36.83254935713594,30.633493041992192,26.499441146850586,25.780433507088894,27.245125516990704,1.8873346846370243,2.8879856934953976
p8-0008-0089-0078,2,163.0,18,29.557561587702278,29.557561587702278,42.88777605939932,35.07782807999548,28.97423553466797,31.934821479757982,34.306789368939555,4.025141012587237,6.260140791306831
p8-0008-0089-0110,3,195.0,21,32.169898967253864,32.169898967253864,43.7435622560375,37.4869740957416,31.7037410736084,30.078960913831686,31.024152731284122,4.3203589355314875,7.138999727979685
p8-0008-0089-0141,4,187.0,20,38.212888034269774,38.212888034269774,51.05010659036006,43.67164744959732,37.6971321105957,29.411723212289168,32.00614531919918,5.430320437048047,9.767859252697644
p8-0008-0090-0174,5,183.0,21,30.772728075746627,30.772728075746627,44.426752917219225,36.18531609917429,30.66159248352051,29.49251199359281,27.696543261001672,5.408588117952958,8.185361672722088
p8-0008-0091-0206,6,191.0,22,34.65092198636519,34.65092198636519,48.389258752073296,39.8098223437595,34.25173568725586,26.08191950351018,25.49995499880526,6.705108270853733,9.324115213143264
p8-0008-0102-0239,7,118.0,15,40.954251968254475,40.954251968254475,52.7185300997723,45.189049865485174,39.9725341796875,24.568836465593904,26.047262506969904,4.699757132617604,6.933056427323718
p8-0008-0037-0270,8,117.0,17,29.115734051435425,29.115734051435425,38.26365400529557,32.69744798682543,28.940303802490234,23.331432081530696,21.127466720903023,5.141914462071206,6.4199581910402355
p8-0008-0038-0301,9,148.0,17,33.49392725970294,33.49392725970294,41.658032869272205,36.82535787649192,33.348876953125,21.33574775957914,22.613965582203218,7.291847467497468,10.03482281477065
p8-0008-0039-0334,10,106.0,13,36.9855597334088,36.9855597334088,46.46913342012042,40.2413111824006,36.8968620300293,24.968320724892845,24.009590774212235,10.607115407346793,13.734451294577909
p8-0008-0038-0367,11,112.0,15,29.735145705086843,29.735145705086843,38.22050512143147,33.93438265759657,29.63397216796875,21.568121304095378,19.371656047446386,13.266744190147794,15.735970010931073
p8-0008-0041-0398,12,110.0,16,35.74823927445845,35.74823927445845,45.06679469453686,39.95365195663987,35.762290954589844,24.24526260026506,23.219819320331922,14.865590734631775,18.499093058705327
p8-0008-0042-0430,13,130.0,16,35.606454394413866,35.606454394413866,45.00926284938471,39.09067427935768,35.225860595703125,21.250901285755983,19.77835899820695,12.26232432756696,14.427403718691606
p8-0008-0041-0462,14,144.0,18,34.24636346764035,34.24636346764035,41.010799611310546,37.85373960858653,34.626636505126946,25.82369832966349,24.428454736868538,13.916442865679876,16.026941073437527
p8-0008-0040-0494,15,163.0,21,38.25997872147824,38.25997872147824,46.612963033000796,41.85939432730471,38.480377197265625,23.95914879670008,24.450980236193885,15.629570409848984,17.93173973984514
p8-0008-0043-0525,16,134.0,16,39.21272999493044,39.21272999493044,50.11521410663768,43.91615779149394,38.96257019042969,21.88203707945144,21.583520860814332,19.093915196655015,19.94346033815128
p8-0008-0043-0558,17,132.0,16,35.558153773799084,35.558153773799084,42.77271236909503,39.263269814814116,36.11116409301758,23.541559771825465,21.829821651632134,18.01669806579059,18.710079880374852
p8-0008-0042-0589,18,118.0,15,36.61333869675458,36.61333869675458,46.78555856845722,40.629651137177575,36.69550704956055,23.24068872129734,21.6817684173584,22.079467579476397,21.783150806265358
p8-0008-0042-0621,19,125.0,15,36.382600494384775,36.382600494384775,45.6780705492784,40.126247492096304,37.29904174804688,23.443349628058364,23.22101219940185,22.966403764631956,22.45712254333496
p8-0008-0042-0653,20,144.0,17,37.068112505806816,37.068112505806816,43.63569004637722,40.27007710497667,37.22508239746094,22.38244671719364,21.772048824363285,23.560279865431657,22.134372151560253
p8-0008-0043-0686,21,130.0,16,39.1595100402832,39.1595100402832,46.843090413609374,42.46347870140225,39.96160125732422,21.21677005854881,21.14876605914189,27.13194134169277,25.489183689997745
p8-0008-0043-0718,22,165.0,19,38.36498873161547,38.36498873161547,46.907813739405526,42.16862799499749,38.38901901245117,22.893981573515845,23.72013282775879,27.33403012778264,26.815827953454217
p8-0008-0043-0750,23,127.0,16,34.81038012467032,34.81038012467032,44.75756102684407,38.51535582783622,34.937000274658196,22.44440397776054,21.434592599943866,32.22111081870225,27.980405769948888
p8-0008-0043-0782,24,111.0,15,39.14644853059236,39.14644853059236,44.89419915908042,42.247734282081694,39.38135147094727,22.318378887143446,22.11061208742159,31.173716414357745,29.15372199840374
p8-0008-0043-0814,25,129.0,15,35.83284366223239,35.83284366223239,44.68564622040389,38.2348880827195,35.47620391845703,20.397009411268304,19.719046452248744,30.989075627143656,27.99525839044142
p8-0008-0045-0845,26,127.0,16,37.40282241941437,37.40282241941437,49.04368349067896,41.78747952086453,36.976810455322266,22.73266056228511,22.04990819357629,33.45648919346513,29.61602191474494
p8-0008-0045-0877,27,149.0,18,41.29899665013256,41.29899665013256,54.437293973692654,45.627730184770286,41.69974899291992,20.535489451699238,20.87465826136954,32.28042024506073,29.53890084900312
p8-0008-0044-0909,28,157.0,19,40.40172472425327,40.40172472425327,49.18751310355933,44.74317806555604,40.21270751953125,18.5353586656279,19.3434864546463,28.734587805032557,28.443567368634948
p8-0008-0045-0942,29,140.0,17,39.86457124437605,39.86457124437605,53.66061406413869,45.66368758799037,40.28036880493164,19.078590359535397,20.03662862096514,28.923219650962977,26.749760392733982
p8-0008-0046-0974,30,128.0,17,41.69784124195576,41.69784124195576,50.481979619482615,45.41917724609375,42.21269226074219,19.2672469763475,19.606229592114687,28.799335626386767,27.51112011820078
p8-0008-0046-1005,31,101.0,14,38.18152295480861,38.18152295480861,47.41840886513082,42.571350911062524,38.75614929199219,21.03211349251077,19.204120730409528,28.774896424296383,24.491739839610485
p8-0008-0046-1038,32,162.0,18,45.74576888849707,45.74576888849707,54.415719531760615,49.877895245385076,46.03108978271485,19.507916566655165,22.718916934213517,27.679700411417002,29.688016561814297
p8-0008-0047-1069,33,157.0,17,42.52235339705352,42.52235339705352,50.61861775171897,46.21024011693578,42.96865463256836,18.92491829168221,20.310890601698762,29.596216570528938,27.39831043352747
p8-0008-0044-1101,34,203.0,22,38.39754727556201,38.39754727556201,48.640960574613935,43.175435285160056,38.43628692626953,14.874830154545734,13.990200044412918,26.49771950313693,22.137192568755502
p8-0008-0048-1134,35,195.0,21,45.32601479750413,45.32601479750413,57.162865137775576,50.791213287175395,45.36102294921875,16.61334132498731,17.680391767697454,28.587220551836513,27.302477420904694
p8-0008-0048-1166,36,188.0,21,46.51043621022651,46.51043621022651,53.86916700281522,50.517937022702704,47.27002716064453,16.95239108344219,17.781716999855448,29.271650740948008,28.10060949274834
p8-0008-0050-1197,37,216.0,23,38.30653889090927,38.30653889090927,48.964577203594764,43.204201207736126,39.44941329956055,18.25632895056467,16.57077162857685,24.975184291533022,23.278791067776858
p8-0008-0049-1229,38,206.0,22,40.80636284652265,40.80636284652265,51.30899989354472,45.26815615256937,41.48761749267578,15.075798444720494,14.31887404269819,25.97892009606466,22.35177753966989
p8-0008-0048-1262,39,201.0,21,47.53371380099015,47.53371380099015,57.0909503313354,51.81959501927001,47.66630172729492,16.263594199846615,16.887960066249715,27.100935820018815,27.09681432638595
p8-0008-0048-1294,40,184.0,22,42.399351482806,42.399351482806,53.32261447386985,46.76398412652517,42.30989074707031,15.975715867295674,14.716297003562035,28.652179188467088,23.594386525776077
p8-0008-0050-1326,41,189.0,22,45.78731447048288,45.78731447048288,56.3430363443575,49.66215082606453,45.71586608886719,17.5432183974141,17.806481824350104,28.75255484044778,26.560876548605624
p8-0008-0047-1358,42,266.0,27,42.37402185999361,42.37402185999361,53.44486964481814,48.08721656502453,43.3238525390625,12.448626074909535,12.051081887873492,20.559564497738556,18.642414125284752
p8-0008-0050-1389,43,188.0,22,48.17050650779239,48.17050650779239,61.031881724257424,54.14244326728792,47.903564453125,16.046267444290308,15.727532742029808,27.276275003572376,25.261392111473896
