,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p8-0011-0031-0013,0,142.0,24,16.06650880860611,16.06650880860611,27.84108412470417,20.75139907606408,15.988039016723633,25.23546008996561,25.23546008996561,0.14729233208099302,0.14729233208099302
p8-0011-0031-0046,1,203.0,33,20.591049880229786,20.591049880229786,29.72092485729813,24.24253186516715,20.40869903564453,20.850372731852868,22.034967798317595,1.0184554727294302,1.5584330954371028
p8-0011-0035-0077,2,177.0,34,25.06252679717069,25.06252679717069,34.18650569962338,29.820671508415362,25.804792404174805,21.85637758108105,23.479766201838263,1.0379647111478427,1.6143049915205414
p8-0011-0034-0110,3,205.0,36,27.31359478089868,27.31359478089868,37.46279954785857,30.572607801452946,27.54911994934082,23.183913384569276,23.91243739477018,2.765839867052083,4.570298522220153
p8-0011-0033-0142,4,254.0,37,31.74584540795153,31.74584540795153,41.115061542612565,35.882198768616306,32.37961578369141,24.185162539621768,26.318547241331085,3.6641111523515186,6.590867415158532
p8-0011-0034-0174,5,223.0,35,25.65570280049414,25.65570280049414,35.52157626073093,30.020164810649824,25.95846176147461,23.966953583299787,22.507467892137882,4.2812678825708925,6.479274308267197
p8-0011-0035-0206,6,225.0,37,28.58242889404297,28.58242889404297,38.859252663499795,33.04325562143358,28.885234832763672,22.1727622482633,21.678022564782037,4.990288378818361,6.939488806343741
p8-0011-0024-0236,7,110.0,16,34.47208250219172,34.47208250219172,45.51925983040413,39.005036230517284,35.435081481933594,25.685119709943134,27.230717927759343,6.916811538604649,10.203643154556099
p8-0011-0024-0269,8,94.0,14,30.623763956922165,30.623763956922165,38.84390702486638,34.585492304092305,30.15691375732422,23.854135514181383,21.60079383342824,7.555832458278905,9.433865311932058
p8-0011-0023-0300,9,119.0,16,36.54022652762277,36.54022652762277,48.465622448020795,40.792803131310734,35.817604064941406,23.80435155690343,25.230462643278752,9.763791855520196,13.43663889119605
p8-0011-0024-0332,10,104.0,15,36.84081640610328,36.84081640610328,49.371015127392575,41.89001629360028,36.66510391235352,25.18944908955711,24.222228284065537,9.786607758580926,12.67203027755022
p8-0011-0024-0364,11,84.0,16,31.46305200031825,31.46305200031825,38.030588177295115,34.62385640067585,31.7089900970459,24.82780947953679,22.29938244819641,12.252904484677192,14.533432977540151
p8-0011-0024-0397,12,130.0,17,35.84370721670297,35.84370721670297,48.86460905248971,39.83370071672198,34.51053237915039,26.09399918812104,24.990364364477305,12.83637086023343,15.973883804449668
p8-0011-0024-0428,13,129.0,19,38.006718554238006,38.006718554238006,47.31469955051428,42.84911870818903,37.6436882019043,25.53976744589383,23.77003603203352,11.959932753051142,14.071620817332304
p8-0011-0023-0461,14,98.0,15,37.08075716057603,37.08075716057603,45.69573467468847,39.70326278833791,36.619224548339844,26.131282154631663,24.719419936744533,12.232483332697262,14.087600649619588
p8-0011-0025-0493,15,129.0,18,38.84836674475855,38.84836674475855,47.30702673119757,42.21227470490209,39.47446823120117,24.506506334617576,25.00957388471264,13.528422544088185,15.52110171872516
p8-0011-0025-0525,16,122.0,17,39.18061076617632,39.18061076617632,49.41705204329283,43.62407345917674,38.758148193359375,22.61268084941767,22.30419713942731,17.591429453913825,18.37412453088604
p8-0011-0026-0556,17,129.0,18,39.520781524421636,39.520781524421636,49.03341107745733,43.72382011029398,39.31194686889648,27.78829977690657,25.767775542976324,16.577914993692932,17.215924507887788
p8-0011-0025-0590,18,100.0,15,38.119133892059324,38.119133892059324,48.902973149073254,42.135546511734994,37.60060119628906,28.26872698655533,26.37253995895386,18.15051391895771,17.9069255399704
p8-0011-0025-0621,19,124.0,18,38.95358234836209,38.95358234836209,46.324905858658674,43.04861201042349,38.87532043457031,23.749910338333805,23.524665478737127,18.341620224499916,17.934893823439072
p8-0011-0024-0654,20,121.0,17,37.788949887614606,37.788949887614606,46.601127354060246,42.043472679934474,37.6665267944336,26.363403124383726,25.64443946869905,18.853940352554627,17.712868211683162
p8-0011-0024-0686,21,138.0,19,40.265618808027625,40.265618808027625,49.7700017318615,44.13047953407961,40.50930404663086,24.66362220378695,24.584570352581963,19.119635922185292,17.961999326512434
p8-0011-0024-0716,22,138.0,19,39.31305730515632,39.31305730515632,48.803226497956025,43.47828989215925,39.80883026123047,22.70382079922711,23.523109919783,17.75454214756501,17.417949178944465
p8-0011-0025-0749,23,96.0,15,35.04517682393392,35.04517682393392,46.34792431660881,38.89761676008335,35.33119201660156,23.45140473700628,22.396286706129715,21.285339667992613,18.483920191725094
p8-0011-0024-0781,24,128.0,17,38.92047786712647,38.92047786712647,45.43485881792032,41.69819581068253,39.14368438720703,21.727736909216016,21.525468528270718,20.206515428006792,18.897173680365086
p8-0011-0025-0814,25,115.0,18,37.38617313219154,37.38617313219154,48.57304191845472,41.866997835650146,37.28510284423828,25.77116914862593,24.914577981700074,21.03845748496641,19.00595747076947
p8-0011-0025-0846,26,129.0,19,36.738966623942055,36.738966623942055,48.44260399007066,42.250638801485636,35.83677291870117,20.411370368525027,19.79833559287611,18.911333026317436,16.740502869435982
p8-0011-0025-0877,27,104.0,14,43.67878556251526,43.67878556251526,52.15624853935832,46.862003210828384,44.38252258300781,22.94109558795018,23.319995935146622,19.48774948434337,17.83268914772914
p8-0011-0025-0910,28,136.0,19,41.87447726025301,41.87447726025301,54.01307081400215,47.39910056299809,42.44129180908203,22.584520185529964,23.56918839146109,18.743300177490564,18.553470296018265
p8-0011-0025-0942,29,147.0,20,41.22692777672592,41.22692777672592,53.268807340281285,46.85433039151168,41.327484130859375,21.32581709934766,22.396700657954828,19.306093214803568,17.855320875336524
