,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p12-0008-0035-0013,0,317.0,42,16.983409218701652,16.983409218701652,28.147279278761076,21.320640436619087,17.373334884643555,30.678849480505622,30.678849480505622,0.09083420675753233,0.09083420675753233
p12-0008-0048-0045,1,151.0,23,20.04137323392148,20.04137323392148,27.9598052954068,24.04224550531395,20.589187622070312,32.35805213965078,28.393861214846176,0.06353899734000355,0.07711425972547357
p12-0008-0047-0077,2,191.0,25,24.148343536866275,24.148343536866275,34.57311167373185,28.690307368476915,24.3498592376709,33.53697645366953,32.658595938957184,1.9518366388149282,2.4959552006415677
p12-0008-0054-0110,3,182.0,24,28.32195189496973,28.32195189496973,41.205811912403895,33.31251075117723,28.80854415893555,37.520893570188775,36.550018289587,2.273005605731153,3.247083112802152
p12-0008-0051-0142,4,213.0,26,31.25429503122966,31.25429503122966,42.81550232120443,36.066438920450416,31.492664337158203,35.736516613636844,36.936034260781156,3.772319539765859,5.903541225922499
p12-0008-0052-0174,5,185.0,24,31.241450943817963,31.241450943817963,39.58965688348771,35.02563508182839,31.269758224487305,34.00440016936567,32.28631168056179,4.340028693115892,5.97129181274968
p12-0008-0052-0206,6,198.0,25,31.57332357734141,31.57332357734141,40.22965427493853,34.17230522656064,31.28332901000977,36.29351233601761,33.13340184664485,6.119203733467231,8.0040985787325
p12-0008-0054-0238,7,206.0,26,33.49654420834143,33.49654420834143,44.96822081972079,38.06400653619081,33.79852294921875,35.45041933285466,32.72073172134103,5.148754589099528,6.384100254353824
p12-0008-0055-0270,8,188.0,24,35.50786860952986,35.50786860952986,46.35811414458872,40.35248205713615,35.89413452148437,34.984056315723464,32.86510089103212,6.4363835109967695,8.11446053839903
p12-0008-0055-0302,9,216.0,28,37.02699635646962,37.02699635646962,47.20497937974081,41.83288006362338,36.617767333984375,31.940644011361382,30.12588085068597,6.084982461765449,7.793467211950984
p12-0008-0055-0333,10,215.0,27,38.27265654275584,38.27265654275584,48.43972182183277,42.757320740163436,38.3049430847168,31.279477988393005,30.242266047278115,9.168699223548346,10.742327468547712
p12-0008-0054-0365,11,181.0,26,34.63804598012682,34.63804598012682,42.29186809183558,38.051077295959495,34.75876998901367,32.24570786293514,27.613111501240603,8.994360453524113,9.58862727579985
p12-0008-0055-0396,12,234.0,27,44.03205056475779,44.03205056475779,53.960507400610474,48.47850954252676,45.01139831542969,32.16860972581221,31.653244646186504,9.394557427427594,10.898513981929193
p12-0008-0054-0428,13,189.0,27,37.879502674889935,37.879502674889935,46.17064016123444,41.910455505011356,38.113365173339844,29.72479914669937,26.56770588102795,11.012137094006924,11.23642855334692
p12-0008-0056-0459,14,192.0,24,41.41372187932333,41.41372187932333,53.941113540263494,45.634076691634256,41.37303924560547,30.63285959909453,30.05164071420829,11.385654856984859,12.055607521285616
p12-0008-0059-0493,15,188.0,24,41.7952513390399,41.7952513390399,51.400517834807225,46.77184983199126,42.12306213378906,30.528535697497798,28.79476611157681,11.584849177524433,12.531221724268882
p12-0008-0057-0524,16,220.0,27,43.305598969893026,43.305598969893026,54.7815141552999,48.6918420063437,43.92340087890625,30.018250666338595,28.813668649846853,12.17903537194325,12.468491820144385
p12-0008-0057-0557,17,197.0,26,45.445407073509884,45.445407073509884,56.28130602213413,49.37709173860417,45.165000915527344,30.777143056244952,29.735270940712862,14.093036674584786,13.846171972110186
p12-0008-0058-0588,18,213.0,26,46.16377046970135,46.16377046970135,57.250999039483844,51.09021606925533,46.0846176147461,27.631487223069477,28.38380254378341,14.283136978549585,14.887177527790339
p12-0008-0060-0621,19,196.0,27,45.46932771254559,45.46932771254559,59.10634501267965,49.31891015756318,45.4090576171875,26.146068057902017,25.7551056219607,13.82296493604463,13.267460236896056
p12-0008-0062-0653,20,233.0,31,50.913570371308545,50.913570371308545,60.657853840439174,54.65222175298661,50.83522033691406,25.60259853140944,25.58792158871761,15.799220534957211,14.996872405893303
p12-0008-0062-0684,21,215.0,29,48.51533770893895,48.51533770893895,57.96210725220698,51.63970877908683,48.18377685546875,26.652078253623166,26.128844243426656,14.656155114548174,13.865545901032384
p12-0008-0063-0717,22,275.0,35,48.72887130737305,48.72887130737305,60.23118891280531,53.65667025517425,48.72781372070313,25.440486525930986,25.361557991721412,14.722757719789156,14.231274499351327
p12-0008-0063-0748,23,302.0,35,42.75156986160784,42.75156986160784,53.8635380988755,47.586391966565024,42.67280960083008,22.555080638887745,21.428936711999754,13.898142403936463,11.76494188389636
p12-0008-0062-0780,24,322.0,35,43.217016397796066,43.217016397796066,57.70352244758038,47.0045761561552,42.34737777709961,23.400013980803816,21.927544110310002,13.403157048524621,11.858114732163294
p12-0008-0064-0812,25,291.0,35,43.384541698337834,43.384541698337834,53.617882534480245,47.47649342459872,43.39491271972656,21.393619215867112,20.780408547915954,12.011301696125116,11.199075062627204
p12-0008-0073-0843,26,132.0,16,44.831205685933426,44.831205685933426,55.51201622837003,49.61628268288376,45.1686897277832,21.44844339263168,20.735495906887635,11.785484075516115,11.359312314808257
p12-0008-0073-0876,27,126.0,14,53.478988284156436,53.478988284156436,63.870770037924565,57.41261454237546,52.60769653320313,21.34042620917037,21.534465630849198,12.137171331070277,11.599643834053525
p12-0008-0073-0908,28,136.0,17,50.47975906203775,50.47975906203775,59.95967486794738,55.6994902117243,51.55764770507813,21.125341272207628,22.17287615993444,13.305591597222518,13.486483937512865
p12-0008-0073-0940,29,117.0,13,51.02680362799229,51.02680362799229,60.19240119211132,55.62191477033633,51.004920959472656,20.41065455588848,21.488798271896485,13.157139403201795,12.640801776168695
p12-0008-0073-0973,30,179.0,18,44.489099310763045,44.489099310763045,60.14714885130167,49.10557769374624,44.38044738769531,16.71316373430963,15.179420569589016,12.400983433315723,10.754720311591079
p12-0008-0073-1004,31,161.0,22,43.58936347724488,43.58936347724488,54.710403334027596,48.46558030229543,44.005184173583984,20.388396046409067,19.61174661328333,12.439582999175029,11.349790823200474
p12-0008-0076-1035,32,172.0,16,52.4742024000301,52.4742024000301,65.01500779839722,57.787562509084026,52.03254699707031,17.85897070297425,19.020129717539913,13.283975777057284,13.302794317000133
p12-0008-0071-1069,33,155.0,15,54.4348263894358,54.4348263894358,68.36368101831158,60.631995359976514,54.25561904907226,18.061919285094362,19.614157069113947,14.52353995277084,14.147178831215827
p12-0008-0074-1100,34,134.0,17,47.30922264839286,47.30922264839286,59.34553595695922,53.979901260957476,47.30217742919922,19.611764062588954,18.14100452679307,11.877806412967411,10.70807416003142
p12-0008-0075-1132,35,153.0,17,51.552192650589284,51.552192650589284,63.605720613182314,58.27887363787454,52.55767440795898,19.511671105541083,21.501964333010655,13.170239878270737,12.502097137613234
p12-0008-0074-1165,36,181.0,21,50.92482899829168,50.92482899829168,64.75642299377064,57.884531810819,50.27375030517578,19.250595925194567,20.450478312718932,13.480889121449481,14.406312710672452
p12-0008-0074-1195,37,179.0,20,47.199441323733204,47.199441323733204,61.562900656632245,52.90030970164146,47.083351135253906,19.350071319141062,19.554631450988726,12.6957496660923,11.927402096670432
p12-0008-0076-1228,38,166.0,19,45.27265918685729,45.27265918685729,58.88654792874704,50.9673882870577,45.79122924804688,18.638196961417506,17.327006360740366,10.262946512766446,9.037948239258077
p12-0008-0077-1260,39,170.0,18,51.430640018687534,51.430640018687534,65.5515712679974,57.43200840272247,52.60557556152344,18.26070136784268,19.255449111880182,12.727937552221746,12.2691329489736
p12-0008-0073-1291,40,240.0,23,42.48964639504751,42.48964639504751,55.20817908293378,48.09063233558688,42.00597381591797,16.75938439053321,15.344685669740038,11.55530686135225,9.891113578797864
p12-0008-0075-1325,41,158.0,20,53.26058114933062,53.26058114933062,65.99763005597828,59.30674823626524,53.87078475952149,19.721345906108233,20.324601970141448,13.473297925115066,13.107061794617133
p12-0008-0073-1357,42,204.0,26,44.350280686920755,44.350280686920755,58.70553856550842,50.094664571442955,44.16441345214844,16.785676518310808,14.731446948705935,14.093004876063926,12.024696655717552
p12-0008-0075-1389,43,197.0,19,52.614061500820405,52.614061500820405,71.22750772955106,58.130187375214255,52.59704208374024,19.871750031455285,19.626174851722524,13.237340075478128,13.019915056712735
p12-0008-0075-1420,44,170.0,20,53.596622500700114,53.596622500700114,66.29500258129885,59.248566655224245,54.76731872558594,18.477460612476715,18.58174587558297,14.058346389737267,14.64935354415108
p12-0008-0074-1453,45,173.0,19,55.181156621503,55.181156621503,68.62226582293816,60.250582773152296,55.93716049194336,18.870262549980588,18.887737684856265,14.80087531950474,14.655237918988814
p12-0008-0074-1484,46,168.0,22,51.863903981210406,49.100612322489425,64.10349636208849,55.505551608254365,49.21519470214844,22.56254541230832,19.953659528777713,13.756474743706525,14.029157407581804
p12-0008-0075-1517,47,177.0,19,54.43304008184452,54.9928679816467,66.36611340257116,61.03926642726341,55.40959930419922,19.49396282860582,18.544103483695764,12.811799807170157,13.076294696263675
p12-0008-0076-1548,48,204.0,20,50.08742693428905,51.620377334893924,63.56046827237265,57.470796123416456,52.61812210083008,18.62758470457325,18.046354726249096,11.790603962808294,11.64568158441826
p12-0008-0073-1579,49,162.0,15,52.93009135916146,51.25862846845462,64.85985691562128,56.9277680337006,50.23593139648438,20.27174229167907,18.85178987037988,14.601048951777463,15.237688988815119
