,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p14-0011-0077-0014,0,370.0,40,22.895870013816932,22.895870013816932,33.729949117509044,26.54100332842945,22.85650634765625,35.83702685124165,35.83702685124165,3.2491107487799353,3.2491107487799353
p14-0011-0082-0045,1,389.0,48,25.33877771617821,25.33877771617821,35.73193402079703,29.564202753091607,25.101741790771484,31.81546903289428,27.917750064388947,3.5512395940995685,4.309970630184391
p14-0011-0072-0077,2,197.0,26,27.855168013403254,27.855168013403254,38.18891549301409,32.344737340991585,27.401397705078125,33.10535728485599,32.238281482367356,7.214060086087777,9.225142325714307
p14-0011-0073-0108,3,192.0,24,29.520990908145905,29.520990908145905,38.10802721409337,33.456951176151584,29.110395431518555,31.399622243857497,30.58713847398758,6.7566807987796995,9.652199741608152
p14-0011-0072-0142,4,209.0,25,33.20451817672218,33.20451817672218,42.27377357851079,36.88459199541739,33.84856414794922,32.954013832324215,34.06013510215796,8.88321610215896,13.901906221106865
p14-0011-0078-0174,5,205.0,22,33.108912909903175,33.108912909903175,44.892531608569314,37.24858925056065,33.02569580078125,31.739949260380026,30.136273230575927,10.74288448931054,14.780754398718114
p14-0011-0076-0205,6,202.0,26,34.91746052657024,34.91746052657024,44.44764607450533,38.674245166538455,34.74485015869141,33.420748698499395,30.510772459577804,11.309714852880518,14.79343988576738
p14-0011-0077-0239,7,206.0,26,33.111964480390824,33.111964480390824,43.88142812206024,37.47103201759265,32.556774139404304,29.11292460840621,26.87122504225055,12.740111696839326,15.796859010620024
p14-0011-0082-0268,8,154.0,23,41.0252196324336,41.0252196324336,51.52537048006892,44.45775710937042,41.039833068847656,29.283684751934114,27.509996129320808,13.520244725944238,17.045207469494308
p14-0011-0084-0301,9,183.0,23,35.828865207609574,35.828865207609574,43.658985355028236,39.23035208411845,35.72882461547852,28.093716286593875,26.49752300554286,11.533043231328525,14.771183786007875
p14-0011-0084-0334,10,220.0,25,36.7796219478954,36.7796219478954,46.227188210761305,40.53467558171517,37.15709686279297,30.433489859579215,29.424330464276398,15.204562808143896,17.814129214937036
p14-0011-0085-0365,11,184.0,25,36.82734957985256,36.82734957985256,45.11497437560132,40.585230756040616,36.60958862304688,29.73453608418416,25.462708519852683,15.33528044032892,16.348498492137242
p14-0011-0084-0397,12,209.0,27,41.135087291589755,41.135087291589755,52.283698094950715,45.6913033629115,40.8054313659668,25.822174185738763,25.408483728837734,17.04381796138389,19.772329861467536
p14-0011-0086-0429,13,155.0,26,37.057739036313954,37.057739036313954,45.3576392123635,40.75711834874717,36.69294357299805,24.136210020776037,21.572685007895192,16.885789640516215,17.22971365528722
p14-0011-0086-0460,14,218.0,30,41.68088629486364,41.68088629486364,49.300942809748925,44.49820124883079,41.42287063598633,24.743897259853266,24.27441381751944,16.6435728827173,17.622911017969113
p14-0011-0079-0491,15,97.0,17,36.85271036993597,36.85271036993597,45.11497437560132,40.18078936143699,36.101261138916016,23.651739394003343,22.30851524392354,15.391562648257521,16.648907661437992
p14-0011-0075-0525,16,107.0,14,39.67072740002214,39.67072740002214,48.70439175270857,44.194870202878064,38.993919372558594,23.69712435647483,22.746198529394988,16.200105368917402,16.585129701088526
p14-0011-0076-0556,17,131.0,16,40.897548792016416,40.897548792016416,49.28072074001875,44.973419887490046,41.23067855834961,23.975890392972133,23.164255225931417,15.712670376009124,15.437434897167993
p14-0011-0078-0589,18,111.0,16,39.46448662903932,39.46448662903932,47.26862480186567,42.78943635663042,39.25800704956055,24.674933579397266,25.34675158251513,19.454564517342053,20.277307158117896
p14-0011-0075-0620,19,110.0,16,39.61418387673118,39.61418387673118,52.02081118845837,44.31620262125914,38.74392318725586,23.20479305697959,22.85781153765592,18.382844741194862,17.644091754068032
p14-0011-0079-0652,20,108.0,17,38.392253822750526,38.392253822750526,45.76208060696713,41.74799976552608,37.812294006347656,23.455011931516832,23.44156611407245,21.132378946324895,20.05919152719003
p14-0011-0075-0685,21,79.0,14,38.599802186217495,38.599802186217495,47.91573103323148,42.53666048500315,40.07772445678711,24.72774256626133,24.242287143876286,24.25414974706275,22.945787894574906
p14-0011-0075-0718,22,123.0,18,40.465475811221744,40.465475811221744,48.0168413818824,43.32532120448024,40.38553237915039,23.11021369624989,23.038514780804395,22.898423730354363,22.134015916808835
p14-0011-0075-0749,23,121.0,16,37.7863975871693,37.7863975871693,45.165529549926774,41.009894220374434,37.84385681152344,24.36843519987776,23.15175299210982,22.54917834140536,19.088146099374317
p14-0011-0075-0781,24,127.0,17,37.41077406575361,37.41077406575361,44.437535039640224,40.23134453576245,36.97936630249024,23.01434292047842,21.566141796862983,22.38095488224596,19.80100134977205
p14-0011-0075-0814,25,93.0,14,36.627034874372576,36.627034874372576,42.99165705393224,39.847125210889004,37.28767776489258,22.71342464352945,22.0623840619159,27.126116707329867,25.29179807888564
p14-0011-0076-0844,26,92.0,16,41.14302220551864,41.14302220551864,49.371720053804566,45.06441920127586,41.4581413269043,23.65117309453828,22.86500674745311,27.43241814294406,26.44044175355331
p14-0011-0076-0876,27,112.0,16,41.94840919971465,41.94840919971465,55.02378854339034,46.55074132644422,41.718563079833984,20.62235954975742,20.809869896620512,23.489660989455892,22.449357748031613
p14-0011-0077-0909,28,65.0,10,39.969139568622296,39.969139568622296,46.51029718698386,42.587215659328606,39.65934371948242,21.744992366421165,22.823253675607532,26.65690723948889,27.019313548161435
p14-0011-0076-0942,29,102.0,14,42.59907421411253,42.59907421411253,51.262483573576546,47.450623429437314,43.45216369628906,20.78289550481843,21.880701953289556,25.22508271508125,24.23515177708046
p14-0011-0074-0974,30,62.0,11,33.40087296885829,33.40087296885829,42.809658426360606,36.06559817134502,32.63650131225586,20.354690217514857,18.48676936857162,23.089805346198162,20.02457304154673
p14-0011-0078-1005,31,97.0,15,41.09860003363226,41.09860003363226,48.198840009454024,44.01287157530643,41.356590270996094,22.175887692172775,21.331147842800494,26.80525642301489,24.456933434476557
p14-0011-0076-1036,32,139.0,17,39.981326686392585,39.981326686392585,52.779138803340174,44.31620262125914,39.06517028808594,21.076954020061653,22.44734067711041,26.326266805846828,26.363561506751626
p14-0011-0077-1069,33,118.0,16,40.981538788746974,40.981538788746974,50.17049180814674,44.113981923957326,40.60155487060547,20.82525335513121,22.61497152457803,24.417913810738572,23.785151174512965
p14-0011-0077-1101,34,78.0,14,36.93187977717473,36.93187977717473,46.732739954015855,41.19189284794608,36.6741828918457,21.684808096274722,20.058583235129333,25.881237188918444,23.332440143976456
p14-0011-0079-1133,35,121.0,18,40.85703115226809,40.85703115226809,50.41315664490892,44.62964470207696,40.41779327392578,21.23539312505486,23.401515077953498,27.090971160278322,25.716612311434154
p14-0011-0078-1164,36,115.0,17,41.10657522782036,41.10657522782036,48.72461382243875,44.57908952775151,41.14281845092773,20.261680689454526,21.524583609207816,28.22841164769135,30.16620950284211
p14-0011-0077-1196,37,68.0,10,37.247000638176424,37.247000638176424,45.71152543264168,40.96945008091408,37.74298858642578,20.550972417088037,20.76822792782503,23.77368890926739,22.334903759114884
p14-0011-0077-1229,38,51.0,10,37.07571138120165,37.07571138120165,42.850102565820976,40.48412040738972,38.21975708007813,23.608808296739177,21.947936936920765,25.600276515794675,22.5445951386994
p14-0011-0075-1260,39,98.0,16,40.328309098068544,40.328309098068544,49.25038763542348,44.558867458021325,40.58039093017578,19.01866032424541,20.054697717939106,24.885610267621658,23.988557426296936
p14-0011-0078-1292,40,78.0,14,35.20338880098783,35.20338880098783,42.850102565820976,38.50235757383192,35.16129302978516,21.33957478329437,19.538251510033238,28.120386528200275,24.07049335577549
p14-0011-0076-1326,41,114.0,17,43.284537800571364,43.284537800571364,50.22104698247219,46.72262891915077,43.91817855834961,21.046217500120363,21.69000004885489,28.7166941279776,27.93610640576011
p14-0011-0078-1356,42,84.0,12,35.00038691929409,35.00038691929409,44.54875642315624,39.49323899061081,35.73796081542969,22.203719221444505,19.486430077325732,26.716855929574194,22.795854466302053
p14-0011-0077-1389,43,139.0,15,39.935018827589296,39.935018827589296,48.5628372645973,43.66909638989333,39.41032791137695,20.138994743438133,19.890116952306077,28.191802249343073,27.728748259784503
p14-0011-0079-1421,44,119.0,15,39.52600094450622,39.52600094450622,49.97838214571002,43.12310050717843,40.18631362915039,18.903908622649283,19.010600723138374,27.56280961794792,28.72153890433432
p14-0011-0076-1452,45,150.0,20,40.0955773417155,40.0955773417155,50.97937459735401,43.476986727456605,40.069984436035156,22.56562424130199,22.586521530151373,26.748451319532233,26.485252364476523
p14-0011-0078-1485,46,86.0,13,38.16427956129601,36.13089936278587,44.51842331856096,39.341573467634454,36.44586944580078,20.025847888136294,17.710277951040933,27.715180826938212,28.264554811078447
p14-0011-0076-1517,47,119.0,17,37.02573765047421,37.406536535054705,47.68317723133439,41.35366940578753,37.42728042602539,21.380296654652057,20.33852414523854,26.553392276646278,27.101577281951904
p14-0011-0077-1548,48,99.0,13,40.09764068673198,41.32484875303327,50.655821481671104,44.82175436451368,41.46678924560547,23.69818416848555,22.958738057300295,32.31696033944364,31.919741437892718
p14-0011-0073-1581,49,96.0,14,40.83031105656599,39.54094336430232,49.79638351813838,43.35565430907551,40.05618286132813,24.752232783278075,23.018440375725433,32.46958233391599,33.885332405567176
p14-0011-0074-1614,50,59.0,8,42.391596434319695,39.93934414750439,48.55272622973221,44.84197643424387,39.8785400390625,22.363093816221394,20.094840292203227,36.2220723540094,30.895554655689306
p14-0011-0075-1644,51,122.0,15,40.19536951214247,41.22746866257464,50.69626562113146,45.02397506181551,41.66241455078125,18.563292173842473,18.43631284354163,31.95647661352451,32.462595587871114
p14-0011-0075-1676,52,130.0,16,41.391468000691646,44.865593015230615,55.66078373989106,49.87727179705911,45.53831481933594,19.236039295275763,19.687267802311823,29.636622852028893,29.915326925424427
