,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p14-0011-0077-0014,0,370.0,40,22.895870013816932,22.895870013816932,33.729949117509044,26.54100332842945,22.85650634765625,35.83702685124165,35.83702685124165,3.2491107487799353,3.2491107487799353
p14-0011-0082-0045,1,389.0,48,25.33877771617821,25.33877771617821,35.73193402079703,29.564202753091607,25.101741790771484,31.81546903289428,27.917750064388947,3.5512395940995685,4.309970630184391
p14-0011-0072-0077,2,197.0,26,27.855168013403254,27.855168013403254,38.18891549301409,32.344737340991585,27.401397705078125,33.10535728485599,32.238281482367356,7.214060086087777,9.225142325714307
p14-0011-0073-0108,3,192.0,24,29.520990908145905,29.520990908145905,38.10802721409337,33.456951176151584,29.110395431518555,31.399622243857497,30.58713847398758,6.7566807987796995,9.652199741608152
p14-0011-0072-0142,4,209.0,25,33.20451817672218,33.20451817672218,42.27377357851079,36.88459199541739,33.84856414794922,32.954013832324215,34.06013510215796,8.88321610215896,13.901906221106865
p14-0011-0078-0174,5,205.0,22,33.108912909903175,33.108912909903175,44.892531608569314,37.24858925056065,33.02569580078125,31.739949260380026,30.136273230575927,10.74288448931054,14.780754398718114
p14-0011-0076-0205,6,202.0,26,34.91746052657024,34.91746052657024,44.44764607450533,38.674245166538455,34.74485015869141,33.420748698499395,30.510772459577804,11.309714852880518,14.79343988576738
p14-0011-0077-0239,7,206.0,26,33.111964480390824,33.111964480390824,43.88142812206024,37.47103201759265,32.556774139404304,29.11292460840621,26.87122504225055,12.740111696839326,15.796859010620024
p14-0011-0082-0268,8,154.0,23,41.0252196324336,41.0252196324336,51.52537048006892,44.45775710937042,41.039833068847656,29.283684751934114,27.509996129320808,13.520244725944238,17.045207469494308
p14-0011-0084-0301,9,183.0,23,35.828865207609574,35.828865207609574,43.658985355028236,39.23035208411845,35.72882461547852,28.093716286593875,26.49752300554286,11.533043231328525,14.771183786007875
p14-0011-0084-0334,10,220.0,25,36.7796219478954,36.7796219478954,46.227188210761305,40.53467558171517,37.15709686279297,30.433489859579215,29.424330464276398,15.204562808143896,17.814129214937036
p14-0011-0085-0365,11,184.0,25,36.82734957985256,36.82734957985256,45.11497437560132,40.585230756040616,36.60958862304688,29.73453608418416,25.462708519852683,15.33528044032892,16.348498492137242
p14-0011-0084-0397,12,209.0,27,41.135087291589755,41.135087291589755,52.283698094950715,45.6913033629115,40.8054313659668,25.822174185738763,25.408483728837734,17.04381796138389,19.772329861467536
p14-0011-0086-0429,13,155.0,26,37.057739036313954,37.057739036313954,45.3576392123635,40.75711834874717,36.69294357299805,24.136210020776037,21.572685007895192,16.885789640516215,17.22971365528722
p14-0011-0086-0460,14,218.0,30,41.68088629486364,41.68088629486364,49.300942809748925,44.49820124883079,41.42287063598633,24.743897259853266,24.27441381751944,16.6435728827173,17.622911017969113
p14-0011-0095-0492,15,69.0,11,40.674772456072375,40.674772456072375,48.97738969406602,43.770206738544246,40.523231506347656,24.7375529607893,23.332663536071774,21.37727028449611,23.12359096692956
p14-0011-0092-0527,16,123.0,19,46.629591747997246,46.629591747997246,55.832671332597606,51.171484259790724,46.792640686035156,26.02826240155808,24.98379191732019,17.92298120660087,18.34895274891117
p14-0011-0093-0558,17,102.0,14,47.16144464530197,47.16144464530197,56.02478099503434,51.838812560886716,47.98578643798828,24.476317343933893,23.647741654339963,18.13630922314796,17.818619382147695
p14-0011-0094-0591,18,89.0,13,44.481940494494495,44.481940494494495,52.3039201646809,47.693288266199474,43.95938491821289,24.398576225214693,25.062869918480352,20.07965641671648,20.928834486543458
p14-0011-0092-0622,19,129.0,19,44.67626460762911,44.67626460762911,55.38778579853361,48.93694555460566,44.68829345703125,22.46380050133274,22.127899051636692,16.863923323675948,16.18621136421381
p14-0011-0094-0654,20,78.0,12,45.070292595105286,45.070292595105286,52.142143606839454,48.158395869993655,44.79535675048828,23.817006203713227,23.80335286947397,20.26891247119664,19.239575361594177
p14-0011-0092-0686,21,85.0,13,45.32464801563936,45.32464801563936,53.17346916307872,48.97738969406602,45.252037048339844,25.039842910902703,24.54826032975141,22.414082425931866,21.204980861439427
p14-0011-0093-0718,22,91.0,13,47.527253412938386,47.527253412938386,59.502976988625576,52.04103325818854,46.57519149780274,25.153087963788526,25.075051077119603,23.3317841526746,22.552909662435347
p14-0011-0093-0750,23,66.0,12,41.651028344125464,41.651028344125464,52.89036018685618,45.5901930142606,40.99028015136719,23.96626272270192,22.76966042952104,27.189533614022988,23.0162617076527
p14-0011-0093-0781,24,101.0,16,41.185025149052684,41.185025149052684,48.52239312513694,44.33642469098933,41.20167922973633,24.52019672973347,22.977238211301287,22.846062221404832,20.212493669868696
p14-0011-0096-0813,25,82.0,10,42.49949780906119,42.49949780906119,49.23016556569329,46.15641096670568,42.18959045410156,22.16588337420765,21.530537105188134,20.698202669584337,19.29855158270859
p14-0011-0095-0847,26,88.0,14,44.290837526321404,44.290837526321404,51.50514841033875,47.64273309187403,44.65534973144531,23.401606133190704,22.623735406182032,23.349396846450908,22.50506550615484
p14-0011-0094-0880,27,105.0,15,49.45855044410342,49.45855044410342,59.7051976859274,52.617362245498725,49.45025253295898,24.05030240566395,24.268981579371857,22.162811733454138,21.181271604129247
p14-0011-0099-0910,28,77.0,10,45.346339981277275,45.346339981277275,55.873115472057975,48.896501415145295,44.962345123291016,22.0415475889322,23.134514077917324,19.824327790893207,20.093843732561385
p14-0011-0096-0942,29,118.0,14,44.725830304420604,44.725830304420604,55.92367064638343,50.190713877876924,44.4574089050293,19.801960925221582,20.84795186479213,19.8731964487987,19.093294466956188
p14-0011-0094-0975,30,84.0,13,38.261285554795045,38.261285554795045,45.71152543264168,41.87944321877225,38.14565658569336,23.236856431893937,21.104443306014648,22.68224058231602,19.671113570531205
p14-0011-0098-1006,31,84.0,12,44.49683975038074,44.49683975038074,51.404038061687835,47.92584206809657,43.904273986816406,21.402504507627434,20.587224926267353,23.50300344975065,21.44398030780611
p14-0011-0095-1037,32,150.0,16,45.27137537638346,45.27137537638346,53.911574708230354,49.38183108866965,45.42555236816406,21.15319331482445,22.52853691736857,19.35647536771942,19.383896420796713
p14-0011-0095-1070,33,116.0,16,46.09912707887847,46.09912707887847,54.811456811223444,50.35249043571839,46.97675323486328,19.707641734420843,21.40131258142405,19.10135165542748,18.606361718013368
p14-0011-0097-1103,34,72.0,11,41.55341402689616,41.55341402689616,48.61339243892275,46.03507854832458,42.07982635498047,20.42220929339066,18.890671438641018,19.64368450922986,17.70916473865509
p14-0011-0096-1135,35,112.0,16,44.915361693927224,44.915361693927224,53.81046435957944,48.188728974588926,45.27159118652344,23.024582448698247,25.373211136886052,22.062926825976014,20.943646954638613
p14-0011-0096-1167,36,123.0,15,46.14793941838955,46.14793941838955,53.830686429309615,49.82671662273366,46.2859992980957,19.007571324701274,20.192306080484773,20.921849359802984,22.35807309499601
p14-0011-0095-1199,37,117.0,17,39.809157379672065,39.809157379672065,48.02695241674749,43.02199015852753,39.95287704467773,20.444657105360054,20.660788699093033,20.406118902646405,19.17113930139786
p14-0011-0097-1231,38,83.0,12,39.948284976453664,39.948284976453664,47.420290324842036,43.19387775123406,40.83502960205078,24.9690906042432,23.212523862540003,25.067821783985714,22.075694876981068
p14-0011-0097-1263,39,114.0,15,43.39520061225222,43.39520061225222,52.930804326316526,48.208951044319114,43.86641693115234,23.224533581770434,24.489685008400365,21.965217416802332,21.17343612302814
p14-0011-0097-1294,40,118.0,16,35.53321366390939,35.53321366390939,45.438527491284226,39.16968587492791,34.86927032470703,22.71906954669799,20.801299903352387,22.317479524586787,19.103320008617338
p14-0011-0097-1326,41,126.0,16,45.09958182440864,45.09958182440864,53.33524572092017,48.077507591072944,44.90955352783203,22.079659882588803,22.755054390619673,20.99066036557036,20.42008452945285
p14-0011-0097-1359,42,102.0,13,37.700320617825376,37.700320617825376,45.640748188586045,40.959339046048996,37.739994049072266,22.508280155268327,19.753718871696318,23.63190200941288,20.16365250419168
p14-0011-0097-1390,43,112.0,14,44.18691791806902,44.18691791806902,52.435363617927074,47.63262205700893,44.457069396972656,23.791925495444346,23.497904769011914,21.065430753128588,20.719428334917342
p14-0011-0097-1422,44,128.0,15,40.54861840605736,40.54861840605736,48.76505796189911,43.598319145837685,40.484954833984375,21.815344059517706,21.93846806138754,19.49234792982934,20.31179829500616
p14-0011-0096-1453,45,124.0,15,42.71938290134553,42.71938290134553,52.72858362901472,46.31818752454713,42.10256958007813,24.481843814416646,24.504515651733648,23.417080284441735,23.186661297275172
p14-0011-0097-1485,46,112.0,15,39.969117348042545,37.83957598890577,48.02695241674749,42.27377357851079,39.01186752319336,22.61899458968985,20.00358154092516,18.012110421189547,18.369148858955928
p14-0011-0094-1518,47,128.0,17,40.17266712077083,40.58583125472069,50.8883752835682,44.30609158639404,41.4207649230957,24.199853727217313,23.02069598436356,21.4885621709063,21.932185623794798
p14-0011-0095-1550,48,102.0,14,41.565109486233936,42.83723015878715,51.545592549799096,45.9036350950784,43.32659149169922,25.52931552774711,24.7327332683638,24.694712592665628,24.391181366116392
p14-0011-0096-1581,49,109.0,13,39.74601748581172,38.490890362940796,45.80252474642749,42.01088667201844,38.72915267944336,23.962445144629257,22.283974122563638,22.59004631867622,23.575025409733485
p14-0011-0096-1615,50,97.0,13,40.949334812544436,38.58051390500413,48.50217105540675,42.83999153095589,38.60670852661133,27.86607880505976,25.039666146347198,26.421814627704535,22.536441591597093
p14-0011-0097-1646,51,129.0,15,40.686472883904536,41.73118212795997,51.49503737547364,45.71152543264168,41.027748107910156,22.792411571767943,22.636503604031354,22.71868994087245,23.07850307642027
p14-0011-0096-1678,52,157.0,16,40.29488977968436,43.676975298839004,53.85090849903981,48.087618625938035,43.752742767333984,22.14208488606798,22.661481823890828,22.326881134926705,22.536844083458
