,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p14-0026-0064-0015,0,353.0,46,20.076337271135184,20.076337271135184,32.217035805377776,24.65798959188534,19.976905822753906,26.319940465030182,26.319940465030182,-1.7444792112952927,-1.7444792112952927
p14-0026-0063-0046,1,340.0,50,20.54176196263117,20.54176196263117,32.15908741021471,24.87690575139023,20.236536026000977,24.64982654535113,21.629971757202462,-0.7512399338532714,-0.9117441854694762
p14-0026-0055-0079,2,204.0,30,25.45003120805703,25.45003120805703,35.88066212179787,30.07294518434457,25.181804656982425,25.43540361354613,24.769214669863388,-0.9209229601162314,-1.1776510420912767
p14-0026-0055-0110,3,217.0,29,27.92650100602532,27.92650100602532,37.786520451605156,31.875784144973093,28.052379608154297,23.495648782015465,22.88768499348021,-1.6655952913019492,-2.379372197548829
p14-0026-0058-0143,4,251.0,33,31.97538019271486,31.97538019271486,44.18659876183641,36.64042996949132,31.55029106140137,24.146833613852365,24.957336589159716,0.8613275339946629,1.3479458864386828
p14-0026-0061-0176,5,220.0,29,35.073368037830704,35.073368037830704,45.15884405846108,39.0549464346188,34.977493286132805,26.716191984782476,25.366343680295078,-1.0775726552023253,-1.4825940629975365
p14-0026-0062-0206,6,261.0,37,33.09727498854714,33.09727498854714,45.18459890075578,37.62555268726333,32.68551254272461,26.069990994103165,23.800052189735613,-1.5445667268486047,-2.0203387371319708
p14-0026-0063-0238,7,229.0,32,34.07605406915256,34.07605406915256,45.42926990255536,38.436830219546174,34.42177963256836,24.64924802548301,22.7512522264339,-0.6397227316305396,-0.7932120249749011
p14-0026-0063-0270,8,289.0,35,36.83649879508365,36.83649879508365,47.277179837199576,41.04450800188385,37.24216842651367,28.05658020490567,26.35721629218659,-0.7539347043606592,-0.9504985830337324
p14-0026-0065-0302,9,242.0,32,33.737904067867056,33.737904067867056,43.13708893832767,38.378881824383114,33.740169525146484,25.61107564978995,24.155937908109554,-0.31415287449346957,-0.4023577951602946
