,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p14-0035-0064-0015,0,243.0,37,20.49591071909838,20.49591071909838,31.192387902706646,25.58352627849164,20.853687286376953,33.223685250851354,33.223685250851354,4.411912059390327,4.411912059390327
p14-0035-0081-0047,1,111.0,21,23.21268931380264,23.21268931380264,32.91473526394758,26.968892634272386,22.61793708801269,29.52725315611038,25.909863935934528,4.677912511931424,5.677359976075791
p14-0035-0083-0079,2,112.0,17,28.44795731135777,28.44795731135777,35.3859293039889,31.402064972770766,28.582725524902344,36.807407662039026,35.843369960784905,8.161291100847166,10.43643538707069
p14-0035-0085-0110,3,123.0,16,30.00413372070809,30.00413372070809,37.040880464137786,32.88478139679556,29.915496826171875,35.66154133281322,34.73877788946881,8.70556186566986,12.436257460253026
p14-0035-0086-0143,4,136.0,17,38.13892337855171,38.13892337855171,48.39339611475188,41.87843000918839,37.92145538330078,36.00364769048246,37.21213175268734,11.040852630025158,17.278527967631813
p14-0035-0088-0175,5,155.0,20,36.965307666409394,36.965307666409394,43.930269909101476,39.95389404467135,36.964656829833984,38.69840163530935,36.74314649028162,11.923172554008731,16.40467095682698
p14-0035-0087-0206,6,147.0,19,36.768301438312136,36.768301438312136,45.54029026852235,40.58292525486369,36.58340835571289,36.97553205090852,33.75603745908153,11.28481870461163,14.760874991108773
p14-0035-0090-0238,7,121.0,19,35.89345479602656,35.89345479602656,45.697548071070436,38.658389290346655,35.62466049194336,33.12290001206171,30.572431737726394,12.487917069939435,15.484155083121347
p14-0035-0092-0269,8,134.0,20,40.260261848791316,40.260261848791316,48.73037712021206,43.05411929490501,40.437660217285156,34.05268904637723,31.990145768692244,12.610471235715334,15.898240221080494
p14-0035-0092-0301,9,134.0,19,36.935267192214276,36.935267192214276,44.82139745687396,40.388225118375594,37.545936584472656,29.648878974387074,27.964326424385185,13.03743807662159,16.697968616414425
p14-0035-0093-0334,10,130.0,20,43.31546742365911,43.31546742365911,52.64684525033815,46.71597955423898,42.921165466308594,35.95185035476478,34.75970486861009,18.54700127312803,21.730231996682974
p14-0035-0092-0365,11,111.0,19,41.157655320726,41.157655320726,48.52070005014794,45.697548071070436,41.95519638061523,33.70309941002852,28.86112613506145,19.842665966438396,21.153691704208786
p14-0035-0093-0398,12,115.0,19,45.59453443444293,45.59453443444293,54.256865609759025,49.71885473622859,45.9837760925293,30.942045077539543,30.44633047684379,19.414767130328755,22.5228397037672
p14-0035-0094-0431,13,105.0,18,40.2123467763265,40.2123467763265,48.41586151511589,43.71310437224936,40.32164001464844,27.21550273098865,24.324923724219914,19.437774945896845,19.833676928565612
p14-0035-0094-0463,14,126.0,21,48.71646902296278,48.71646902296278,57.76895653333291,52.07023330766185,48.47501754760742,30.345791472998776,29.770019334460066,21.060166480519754,22.29938502538772
p14-0035-0097-0494,15,112.0,19,45.542380877903526,45.542380877903526,53.762626801750756,49.539131533316485,45.57568359375,27.944070706204904,26.35707746233259,20.843196656089944,22.54588857718877
