,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p15-0014-0069-0012,0,234.0,38,19.373047174551548,19.373047174551548,27.672821499123177,23.250028230244087,19.318050384521484,27.458278676383514,27.458278676383514,4.492408452125696,4.492408452125696
p15-0014-0086-0044,1,109.0,15,22.539135355468193,22.539135355468193,31.54404239728757,26.712677001953125,23.068344116210934,27.06765116513413,23.98050852434351,5.2907762135343415,4.973276875913144
p15-0014-0087-0076,2,134.0,20,27.45430559186793,27.45430559186793,36.763551312754586,32.31011513439134,27.78805923461914,24.825144294841852,23.663996433144185,5.6723079225556745,7.502640143815261
p15-0014-0088-0109,3,172.0,24,31.063831063204034,31.063831063204034,40.48155766349822,35.69104948080931,30.831092834472656,25.629103430353936,26.36348381707835,6.414093148667847,8.782239052532024
p15-0014-0091-0140,4,167.0,22,34.54366326474858,34.54366326474858,43.70927746249544,38.796197641869924,34.030288696289055,25.256834900684268,27.856974458979987,5.514953189526026,8.485202321749247
p15-0014-0096-0172,5,183.0,27,33.80260618658013,33.80260618658013,43.52542000559053,37.45812392772867,33.155750274658196,22.943764455465473,24.758524569005914,7.78507464891231,11.332102047778218
p15-0014-0090-0204,6,82.0,12,37.266986498018596,37.266986498018596,43.75013467514097,40.522414876143756,37.501502990722656,24.434389340294754,26.294427929854976,7.00435539572629,11.463130749216894
p15-0014-0090-0236,7,117.0,13,34.073179848173744,34.073179848173744,41.79920277131671,37.611338475149424,34.93447494506836,22.73272314465272,21.376422075124886,6.739477504071937,7.758613046608929
p15-0014-0092-0268,8,155.0,17,39.64687736265121,39.64687736265121,48.82664334634863,43.484562792945006,40.28264236450195,24.597130596336953,23.19607935259419,9.419717703427203,12.289023975607366
p15-0014-0092-0300,9,94.0,12,36.65295146373993,36.65295146373993,46.395639193939324,40.461129057175455,36.68791198730469,24.17704169226579,20.386952811099114,11.255388893171876,12.050615361792609
