,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p21-0008-0038-0015,0,287.0,36,14.84977909476084,14.84977909476084,26.09264080038585,19.04722375630368,14.542007446289062,18.66972078014334,18.66972078014334,-1.1547941706477558,-1.1547941706477558
p21-0008-0039-0045,1,258.0,39,18.369733828906867,18.369733828906867,26.566441543094808,21.548891677806967,18.816801071166992,18.651874853613236,16.877465830292813,-1.9950158917233742,-1.885708840354526
p21-0008-0040-0077,2,314.0,43,19.44545116356224,19.44545116356224,28.693806877858012,23.036626009913093,19.666282653808594,18.367497799927012,17.551266615937468,-1.6327107423139446,-1.965289780170105
p21-0008-0045-0110,3,395.0,50,26.559653745723683,26.559653745723683,35.70605786995056,30.4705596630166,26.315431594848636,19.267916180540723,20.46282206547411,-0.7810807050398041,-0.9988406860399284
p21-0008-0049-0142,4,456.0,56,25.663414271254286,25.663414271254286,34.33203571609459,28.769614996691452,25.51838111877441,18.557138502854407,18.20231186297902,-1.3008241942383991,-1.664607518307636
p21-0008-0067-0174,5,256.0,30,36.58208995312452,36.58208995312452,46.58452292254818,40.58146751242571,35.8006477355957,18.84068011245295,21.32903762161732,-0.0002750169518415351,-0.0003975640702265082
p21-0008-0066-0204,6,298.0,33,34.72015247408976,34.72015247408976,45.31473693208819,38.634146459891895,35.12982177734375,17.849968465855845,19.454868095833184,-0.7880663903176514,-1.0684101919974858
p21-0008-0067-0237,7,258.0,33,28.779566568921698,28.779566568921698,39.013187054059074,33.11436780733257,28.89984703063965,19.48729949455055,18.01617373791776,-1.2152186021289417,-1.413583973299914
p21-0008-0070-0270,8,276.0,34,36.349696722583495,36.349696722583495,47.57002846738281,41.00315017343668,36.28381729125977,20.268373727573547,21.441171720623966,-1.2817456308250368,-1.6755261670044528
p21-0008-0072-0302,9,266.0,30,36.07923745033436,36.07923745033436,47.939593046695784,40.813629876353104,35.99516296386719,18.004804892211773,16.294857467475687,0.014734624066106115,0.017099781543072453
p21-0008-0072-0333,10,280.0,34,39.24789925983974,39.24789925983974,49.09566685890565,42.74673690660563,39.27364349365234,20.76416813856729,21.583993084090096,-0.338840499095274,-0.4315932598364141
p21-0008-0074-0365,11,311.0,38,39.24274956068425,39.24274956068425,52.58757833267065,43.32477381271056,38.84177780151367,17.698008580136417,17.709504350588638,-0.8179889300657457,-0.9620284949851572
p21-0008-0072-0398,12,292.0,33,35.23662152355664,35.23662152355664,42.79411698087653,38.482530222225044,35.61317825317383,19.971487709223048,18.180482488788968,-3.249199266553576,-3.2702523383833406
p21-0008-0073-0428,13,316.0,38,34.01998295361483,34.01998295361483,44.71774799627489,38.515696274214655,34.71088409423828,21.630035234789688,19.91544240071804,-1.4232052448863972,-1.578317425078182
p21-0008-0077-0462,14,307.0,36,36.87967934126963,36.87967934126963,49.72582184670856,42.012345755406756,36.200439453125,22.5911455281131,19.66089512492721,-1.0426193878039656,-1.014099193413451
p21-0008-0074-0493,15,293.0,41,36.178244040687744,36.178244040687744,46.5276668334231,39.73336418297668,35.991554260253906,23.644139513267383,20.370535243493297,-0.10761331968638295,-0.10535251005924602
p21-0008-0076-0524,16,376.0,42,43.15628283074562,43.15628283074562,54.17954882817272,48.3897037522693,43.95195770263672,21.671251811252166,20.644501543227342,-0.8120250096168814,-0.8936325870256158
p21-0008-0077-0557,17,377.0,42,46.82684763293684,46.82684763293684,58.45796953483461,52.25117980534728,46.865806579589844,21.968006335197956,21.6795627925377,-0.11237011926750108,-0.12327962963710927
