,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p22-0050-0060-0014,0,373.0,40,18.9709063833904,18.9709063833904,32.354749595017516,24.03124929567656,18.79416847229004,31.58701089643761,31.58701089643761,3.2559403240500924,3.2559403240500924
p22-0050-0053-0046,1,219.0,23,18.492422899154764,18.492422899154764,27.926972079333428,22.074370027034103,18.51902961730957,25.026238803479778,22.64541734176684,2.0967870846977577,1.9819039830004528
p22-0050-0053-0079,2,201.0,22,23.853367807853278,23.853367807853278,35.64627463213501,28.098311738799826,23.73505973815918,23.756662260467095,22.70094259871884,4.282103273921197,5.154356851932866
p22-0050-0053-0111,3,207.0,22,28.48978594535791,28.48978594535791,42.211288952741974,34.27555735640389,27.510425567626953,25.599221752965548,27.186765545232287,4.475610592868146,5.7233803449288585
p22-0050-0053-0143,4,219.0,23,26.421639808236733,26.421639808236733,34.49198639994038,30.091262514698357,27.08332061767578,25.388943287944887,24.903487330634302,6.987627502604779,8.941759637841898
p22-0050-0053-0175,5,230.0,24,34.94806656215502,34.94806656215502,45.58397488118564,39.46985440127972,35.22854232788086,29.1882926811127,33.043297215939866,7.196843338049218,10.403745336782023
p22-0050-0054-0207,6,230.0,23,34.91671948640243,34.91671948640243,43.591024105287104,38.61315610394776,35.32929229736328,28.362370071167017,30.912445009370213,9.887031220782715,13.404206872245538
p22-0050-0053-0239,7,216.0,23,30.251766447667727,30.251766447667727,37.81958294431397,33.418859059071934,30.49256896972656,29.884661445677725,27.62862308626925,9.118732401670117,10.607222401985416
p22-0050-0053-0271,8,242.0,24,36.309086957253704,36.309086957253704,47.54987202664211,40.62414263347435,36.37718200683594,29.13564619125304,30.82153514507881,11.334041588616053,14.81610922084367
p22-0050-0054-0303,9,257.0,25,28.374350365961572,28.374350365961572,38.017976234222424,33.04010823288307,28.384235382080078,26.655056510807302,24.12357974614847,9.825184482882644,11.402293504328116
p22-0050-0053-0335,10,257.0,26,36.31022413973678,36.31022413973678,47.153085446825216,40.71432140161456,35.87348556518555,27.17566778416102,28.248635899811863,11.448655557433101,14.582561960480092
p22-0050-0053-0367,11,235.0,24,34.899273243356255,34.899273243356255,45.060938025972455,39.920748241980746,34.75765609741211,28.97870279046221,28.997525954309932,13.454235117568846,15.823389639626159
p22-0050-0053-0399,12,247.0,26,32.630058427571285,32.630058427571285,43.31146992405246,37.54002876307932,32.469112396240234,24.94115516223295,22.704479570029235,12.534414278274033,12.615630572657983
p22-0050-0053-0431,13,247.0,25,30.0899493568822,30.0899493568822,39.60512255349003,33.56314508809626,29.948041915893555,25.07919103409189,23.091186818444296,13.676289383516991,15.166839724610211
p22-0050-0046-0463,14,116.0,14,29.15305776842709,29.15305776842709,42.45477162672052,34.266539479589866,28.780920028686523,18.75292835574,16.32052510257425,10.43373183391093,10.148323693987109
p22-0050-0046-0494,15,153.0,14,28.0392925973032,28.0392925973032,39.35262200269744,32.138320551481016,28.321533203125,17.328916248761196,14.929674179043644,8.96797266980347,8.779567749233417
p22-0050-0050-0527,16,189.0,18,34.50545930610132,34.50545930610132,46.016832968258626,40.119141531889206,34.933536529541016,16.724338443747474,15.931965251408872,9.016859875595056,9.923043898952306
p22-0050-0050-0558,17,161.0,17,38.6085361575488,38.6085361575488,49.8223769837753,42.59003977893082,38.38243865966797,15.561129475251331,15.356809281368065,9.488885159015615,10.41011841669216
p22-0050-0049-0591,18,153.0,16,34.78704825257943,34.78704825257943,44.87156261287803,38.91976391562446,34.37841796875,18.095679039344976,16.801858528669364,10.652043743108251,10.935569760553978
p22-0050-0050-0621,19,155.0,16,31.02120794480847,31.02120794480847,41.4357515467362,35.79056066115935,31.188533782958984,15.454948705863613,14.028165508085682,8.249350126321259,7.783835387037647
p22-0050-0050-0654,20,201.0,18,35.14346384171823,35.14346384171823,45.8725469392343,41.498876684434336,36.28837203979492,13.908893470642868,13.626751942771476,10.489909222190784,10.813910494389393
p22-0050-0049-0687,21,167.0,17,32.67834181414393,32.67834181414393,48.577909983440456,39.67726556800217,33.71644973754883,14.570222670929871,14.251131196355749,10.33952277937852,10.654763730610915
p22-0050-0048-0719,22,131.0,14,33.964353066364325,33.964353066364325,47.18013907726728,39.37065775632549,33.973228454589844,14.442201583396947,15.085893487202304,9.586725402779823,10.13321109365615
p22-0050-0049-0751,23,170.0,18,34.45831782397102,34.45831782397102,46.87353126559057,40.41673146675187,35.037185668945305,14.72827579561256,14.770079792597716,10.946481616739618,11.261091667063095
p22-0050-0050-0783,24,153.0,16,34.224354345034925,34.224354345034925,43.86156040970772,39.98387337967888,34.71229934692383,15.996313684394467,16.116614493279677,10.400400500096689,10.080491301475787
p22-0050-0048-0815,25,128.0,15,31.769402384758,31.769402384758,44.07798945324421,36.935831016539936,32.336875915527344,15.802747651987813,15.200085617136212,11.283092453065166,10.879950599046424
p22-0050-0047-0846,26,160.0,17,30.834136921167367,30.834136921167367,41.46280517717826,34.98796962471151,30.532306671142575,13.74692939495762,13.275963146146387,11.35097236582483,10.695711278135423
p22-0050-0049-0880,27,169.0,18,38.356172798653326,38.356172798653326,51.851399266929924,45.24129556225286,38.89281845092773,15.706516614466292,16.592045111592704,11.687880762536876,12.06039339573999
p22-0050-0049-0912,28,150.0,16,35.79399430592854,35.79399430592854,46.197190504539044,39.532979538977855,36.31079864501953,14.07899328960474,14.63687809586525,8.582393893106147,8.27221090734005
p22-0050-0047-0943,29,141.0,15,35.84761752135365,35.84761752135365,49.605947940238806,41.23735825682775,35.550506591796875,13.675382869686912,15.17888287058536,10.197854454415337,10.184203277877037
p22-0050-0048-0975,30,150.0,17,28.19011814117432,28.19011814117432,37.251456705030655,31.678408833965968,28.85332107543945,15.314694278295196,14.609638495221734,10.165622543856436,9.05507673273484
p22-0050-0049-1008,31,170.0,15,38.09863495546229,38.09863495546229,49.0378217009555,42.68923642388504,38.63407897949219,15.745103808230146,17.589891707721883,13.347043225220114,13.026110670847054
p22-0050-0049-1039,32,181.0,19,35.556530986701596,35.556530986701596,51.25621939720456,42.337539228138255,35.45542526245117,14.856824426335116,16.61668391953845,13.390984824827639,13.11127855749132
p22-0050-0050-1071,33,157.0,18,33.00440585385462,33.00440585385462,44.745312337481735,37.77449356024385,32.52756881713867,15.853866555507143,16.681894914739456,9.185145621623917,8.713637861286758
p22-0050-0048-1103,34,155.0,16,35.91223831176758,35.91223831176758,50.45362836075674,41.31851914815393,35.82030868530273,16.30341618994956,16.954144947759563,12.959533548838024,12.331509660713134
p22-0050-0047-1136,35,163.0,15,34.05312643460701,34.05312643460701,46.31442290312131,39.596104676676006,34.693435668945305,13.744411172996816,14.413603609199267,8.534206683624475,8.214882490505104
p22-0050-0048-1166,36,196.0,22,29.575665413116926,29.575665413116926,42.47280738034856,35.556095863994805,30.33938217163086,17.244163251450416,15.680152709538838,12.197090525537913,10.773574333238814
p22-0050-0048-1200,37,151.0,17,32.68497549145427,32.68497549145427,46.28736927267924,37.64824328484757,31.562908172607425,15.971773900403088,16.035134068388018,12.215120969644603,12.129866324907894
p22-0050-0048-1230,38,206.0,19,33.347805356516425,33.347805356516425,46.99076366417285,39.44280077083765,33.52309417724609,14.972990540920222,14.061746448269384,10.445434460876905,9.422913218947867
p22-0050-0048-1262,39,195.0,19,34.27877891736153,34.27877891736153,44.95272350420421,38.73038850253003,34.335205078125,16.410257622488288,17.550803883316426,11.084708350766766,10.651682510341589
p22-0050-0046-1295,40,190.0,19,27.00037562470687,27.00037562470687,40.7323571552426,31.96698089201463,26.829627990722656,16.49381492576574,14.734021612232256,10.233296217490755,8.9688656668914
p22-0050-0049-1328,41,162.0,18,38.12205976321373,38.12205976321373,51.779256252417746,44.05093582280215,38.055999755859375,19.3936708585948,19.75806991847945,11.958689961017498,11.823687413925835
p22-0050-0048-1360,42,188.0,16,29.615973000830788,29.615973000830788,43.28441629361041,35.84466792204346,29.54853820800781,16.779819377598198,14.939800209187446,8.099718524584814,7.146034070488779
p22-0050-0047-1391,43,178.0,17,36.12070976314921,36.12070976314921,53.880421550084534,44.438704525805036,36.84834289550781,15.647417331907818,15.549093219922499,8.877543309242514,9.272620675436569
p22-0050-0049-1424,44,168.0,16,39.60697000367301,39.60697000367301,55.64792540563256,46.07094022914275,40.05305862426758,17.378343350532692,17.33583875745535,11.69335957897051,12.242579574031492
p22-0050-0048-1456,45,166.0,15,41.1277289390564,41.1277289390564,59.74204147919789,48.91157142555922,40.821510314941406,15.918015875676485,14.66249676668141,9.753930397696685,9.859705839536142
p22-0050-0049-1487,46,194.0,16,44.77091717668081,42.676208997510145,60.40034648662139,51.319344534902704,41.300086975097656,18.578829447405926,16.981857947621148,8.311414453557079,7.950513001502559
p22-0050-0048-1519,47,175.0,15,43.391188609343324,41.592446757725305,61.184901769441176,51.707113237905595,38.436912536621094,15.776301115446605,14.506217704670771,8.637640371491381,8.471015939116478
p22-0050-0049-1550,48,178.0,16,46.36859373186813,45.39770408694664,66.83009265501803,57.7310549496713,45.057701110839844,18.551519509879224,17.37452698817079,7.614390546750243,7.339890982704551
p22-0050-0047-1584,49,185.0,18,47.90987049716921,49.256951120737426,81.46610672417336,61.45543807386178,48.28437423706055,18.169766026304693,17.834839127192627,9.314568933145015,9.893932819608096
p22-0050-0047-1616,50,155.0,15,50.239315003456774,51.07735248073455,87.32772665328672,65.09866030672609,47.195274353027344,16.53184429790486,16.355895977635537,7.647308749383778,7.404286888530178
p22-0050-0046-1646,51,173.0,15,44.510511912868985,44.94897433374658,83.08030667388304,53.627920999291966,41.60009765625,12.95985731917379,12.317498893234772,6.189491059547965,6.016924476434041
p22-0050-0048-1680,52,153.0,14,58.35192518777299,61.186722125882426,104.12803115780694,78.53529675961668,58.40254592895508,15.690402029969302,16.170591276065974,8.370276885925067,8.297289058468701
p22-0050-0048-1711,53,160.0,14,57.81437567805908,59.87449426054955,102.95570717198429,81.9260184416884,56.81585693359375,15.822806076418619,16.43945546336472,7.382422253678548,7.424399659631307
p22-0050-0048-1743,54,151.0,14,65.38902825631894,69.83239372202894,115.21100176223824,91.87273656755306,68.46635437011719,16.914272474819285,17.60769582515126,8.065663537297958,8.235460910526728
p22-0050-0048-1775,55,147.0,14,60.846523442717256,62.08335489805053,110.1519728695727,87.30969089965868,57.805213928222656,14.088702255314837,14.14266471270801,6.893954014779122,7.102956791167611
p22-0050-0049-1807,56,181.0,16,70.25411970192603,72.7786168472543,111.79322644972444,94.15425940150023,70.89386749267578,16.830953825249786,17.72223940462862,8.51843238918472,8.97667576307791
p22-0050-0050-1839,57,149.0,14,73.28083382571894,67.91549449639032,112.036709123703,89.94291092935266,62.25912094116211,19.694962481219406,18.385972987085378,10.950011087235051,10.70775130456126
p22-0050-0049-1871,58,151.0,15,77.99116500541187,84.20867322454389,146.4308912923773,116.15787882771036,78.50654602050781,19.35656232141925,20.46110726054141,10.473436273721939,11.386201416876242
p22-0050-0048-1902,59,156.0,15,74.77584017413429,81.52026122655623,145.51106785734726,112.31626330493764,74.002197265625,16.03651368538403,17.45825491578151,8.693357704901972,9.074457997886032
p22-0050-0049-1935,60,149.0,15,79.84499129018339,69.62672736660745,118.99851002412683,96.47185374270352,66.40645599365234,14.984549945755953,12.934493416507774,6.3700044526658814,5.365763209210146
p22-0050-0049-1967,61,147.0,15,84.49256890485671,86.80785637161358,150.21839955426594,126.05950756950493,78.42111206054688,17.247287833672498,17.079601266554423,8.01911265850007,8.159800727541247
p22-0050-0048-2000,62,144.0,14,83.72109051911167,85.9917138285107,156.98180716478134,123.34512664848477,77.06919860839844,18.457296788406243,18.762617987063194,6.460717463463643,6.162208020324923
p22-0050-0049-2031,63,139.0,14,87.12649417700747,80.06858068232914,151.40875929371666,117.99752569777056,67.90449523925781,17.063477260541553,15.365017986983705,6.500144061552562,5.566265785423436
p22-0050-0049-2062,64,149.0,14,78.17938364087799,75.59133113630666,140.2806993052153,103.95669149834059,69.97292327880861,15.874968781706032,15.097716114465024,7.502378402139417,6.669064758457995
p22-0050-0049-2095,65,164.0,15,94.28090045001159,99.28834146406591,188.70669779650558,136.47515528969865,88.88297271728516,17.67433550805985,18.28473274773214,6.6185144789967705,6.889255481840269
p22-0050-0050-2127,66,154.0,14,108.64791389110894,115.7897988356553,207.81557876541515,159.79538473075576,105.6338348388672,16.917214854390256,18.071245501567788,7.495338346266644,8.252708366793858
p22-0050-0049-2159,67,140.0,15,120.3497519411309,127.57612412316459,229.8733054525093,187.04740846272583,111.97274780273438,16.10636597658239,17.72248354639326,8.125241158504386,8.467396520078182
p22-0050-0049-2191,68,134.0,13,117.29222180387251,119.37777509262312,236.99742813558555,175.1438110682187,100.8745574951172,17.84197839276976,18.9130925135826,7.438559760147944,8.094474372745895
p22-0050-0049-2223,69,125.0,13,128.14727465000132,119.17166400146485,223.1820408565061,178.96739083736338,106.41699981689452,16.734316822771785,15.162025324344635,8.040461911890064,6.825535826921463
p22-0050-0050-2255,70,157.0,15,126.91660516335027,123.74361113530055,234.54456564217202,175.9373842278525,114.0701675415039,16.873594686846417,15.933424112903085,8.566754593032467,8.246819663009825
p22-0050-0049-2287,71,138.0,13,132.55206394575714,139.97048762224722,276.3063531679011,204.16333865573682,125.59225463867188,15.930425044340115,16.48651703328326,7.179052117393986,7.4156507241769125
p22-0050-0049-2320,72,135.0,13,143.8884993412173,155.103498812075,300.14060158735737,221.54078727635442,140.36331176757812,17.61937559229568,19.016650897706,8.369041697976083,8.392535417830503
p22-0050-0049-2351,73,153.0,14,152.2505166668776,158.75387583215254,317.7074256210694,229.06169653924752,133.65031433105472,15.889433519169046,15.719011840087914,5.922456158323799,5.869971248595153
p22-0050-0048-2384,74,114.0,13,163.0952691327643,151.4902453004268,347.58365150591936,231.8842919820359,117.139404296875,13.423190518032506,12.239197228299945,6.304477528118446,5.056051871069429
p22-0050-0049-2416,75,133.0,14,167.45353183952625,172.9853236693189,418.6445208004012,263.3656999397816,130.59909057617188,15.707636255746268,15.502948683455473,7.183455095618247,8.146485299208111
