,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p23-0020-0063-0012,0,202.0,28,15.709608183196275,15.709608183196275,24.829584500205197,20.076864136468643,15.99701690673828,30.941264209180776,30.941264209180776,4.420422450851391,4.420422450851391
p23-0020-0060-0044,1,166.0,29,16.553528877625986,16.553528877625986,23.381429835079626,20.022943484043747,16.950382232666016,31.731515858212617,28.71280119792525,4.444991428275296,4.201450056800372
p23-0020-0073-0078,2,100.0,15,20.729091806411745,20.729091806411745,29.18945439627472,25.045267109904753,20.412830352783203,31.187161705745247,29.8012389087677,4.589788015723425,5.524716195389629
p23-0020-0074-0109,3,109.0,14,26.224345023478932,26.224345023478932,34.881934702273604,29.274186850085254,25.917377471923828,29.602451966264482,31.438257339897504,8.681382138863215,11.101692354460377
p23-0020-0073-0141,4,121.0,16,23.32996755395054,23.32996755395054,30.344896948236602,25.70001788934982,23.174541473388672,30.74056305254001,30.15278004417735,7.16088421160417,9.163468629475835
p23-0020-0072-0173,5,145.0,20,28.137174875982875,28.137174875982875,37.78594698287115,32.53253484661778,27.926557540893555,29.18347920428104,33.03784800562365,8.897197602889038,12.861774770350294
p23-0020-0073-0204,6,152.0,20,31.7554541638023,31.7554541638023,41.67593690780951,35.698447438993355,31.94955444335937,30.15283311146863,32.863889480891984,8.966704232473143,12.156486189875164
p23-0020-0073-0237,7,114.0,18,28.273494051213852,28.273494051213852,36.876998841994464,32.41699059142159,28.1119384765625,29.623178992157378,27.38688033923768,10.024124025759638,11.66040500397222
p23-0020-0074-0268,8,136.0,20,32.09594098259421,32.09594098259421,42.846785360464224,35.929535949385716,31.86284255981445,27.37775486556805,28.96192616574905,12.677718257401526,16.572593007017588
p23-0020-0074-0301,9,74.0,15,27.4614095945616,27.4614095945616,35.359517623751195,31.561963102969788,28.33168601989746,27.661944047873913,25.034841434375657,14.772526942357109,17.143768474862384
