,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p23-0053-0057-0015,0,157.0,27,23.65835775387515,23.65835775387515,34.54548838437808,28.185605527854964,24.08761215209961,27.96262671233742,27.96262671233742,0.8543047229195856,0.8543047229195856
p23-0053-0057-0048,1,119.0,23,22.762903998879825,22.762903998879825,29.086419606574427,25.354475566165217,22.649152755737305,28.10350762440198,25.429936312827746,0.5194062305125843,0.4909479291248722
p23-0053-0057-0080,2,126.0,29,28.465610935574485,28.465610935574485,37.70172417898913,32.50680389043404,28.263771057128906,25.912287658640007,24.76077440049913,0.6178176854310444,0.7436655812438518
p23-0053-0057-0111,3,192.0,29,34.804074694712966,34.804074694712966,44.8472794650721,38.28420546297315,34.47834014892578,27.89675730285953,29.626783485213924,1.716934611906106,2.195604288489752
p23-0053-0057-0143,4,187.0,33,31.244209146754628,31.244209146754628,39.5304444891715,35.15506182110554,31.58895492553711,28.312349028127077,27.77099532367074,1.548405344384322,1.981426228898612
p23-0053-0058-0176,5,251.0,35,39.945769397386044,39.945769397386044,48.7688685746854,44.0886991882557,40.16486358642578,28.03092988263021,31.733077281024823,0.8617380973697385,1.245727229414441
p23-0053-0059-0208,6,250.0,34,40.697536865234376,40.697536865234376,49.52744885150179,44.826960350514504,40.89124298095703,28.905869465380768,31.50481070709229,0.25107381330626294,0.3403898762539029
p23-0053-0057-0239,7,227.0,33,35.54889898258159,35.54889898258159,43.831323737193,39.056331816161254,35.61894989013672,29.162703436697548,26.961166780950737,0.2563241441018969,0.29816503914397224
p23-0053-0058-0272,8,261.0,36,42.02195956789214,42.02195956789214,52.412763118678406,45.60585974188847,41.63772964477539,29.789374622486456,31.513090557522244,0.9162167034432229,1.197698688684067
p23-0053-0058-0304,9,224.0,33,34.15661971909659,34.15661971909659,44.23093299015878,38.907324976072324,34.382896423339844,30.552909248278286,27.651246675423213,2.509179279558999,2.91194518030222
p23-0053-0058-0335,10,292.0,37,40.48252198467515,40.48252198467515,51.49840296358722,44.596677052195254,40.238189697265625,30.311280365146086,31.50805085979096,0.8011040421418034,1.0203948640711096
p23-0053-0057-0368,11,265.0,37,38.7477657102189,38.7477657102189,49.690001767962436,43.289480682324154,38.87092971801758,32.80981076446006,32.831122430765404,-0.38708861448381543,-0.4552509985530292
p23-0053-0057-0399,12,246.0,35,36.65581104619717,36.65581104619717,46.89273699720199,41.291434417495275,36.870689392089844,33.99739547134067,30.948573387735262,0.40241542564782096,0.4050228621780388
p23-0053-0057-0432,13,227.0,35,34.74636419018985,34.74636419018985,41.86036962510756,37.89814228637909,34.420764923095696,33.848394638211985,31.16526378513958,3.039854522460141,3.3711619457139714
p23-0053-0058-0463,14,244.0,36,37.00375818815387,37.00375818815387,47.04851687547679,41.481079486699365,36.644718170166016,35.13468191781907,30.577435552096762,0.5292856553537976,0.5148073807740431
p23-0053-0056-0496,15,248.0,35,36.851393607354936,36.851393607354936,46.703091927997896,41.474306448513495,36.885929107666016,33.677289539594724,29.01456460645122,0.029816473742509328,0.029190070142278507
p23-0053-0058-0527,16,277.0,37,42.7225045090548,42.7225045090548,51.58645246000341,46.554085087908966,42.660804748535156,35.43875491006819,33.7597217181099,0.36400475487034517,0.4005868131301571
p23-0053-0057-0559,17,321.0,37,48.02442845377224,48.02442845377224,57.08615946692225,51.83705487288026,48.2982063293457,39.2502145420083,38.734852758152094,1.4089024775860572,1.5456864935609969
p23-0053-0058-0591,18,278.0,35,37.91489321207828,37.91489321207828,47.36684967021225,40.70218009532539,38.15819549560547,36.433372563613524,33.828427781304015,1.6298312175233625,1.6732125221215617
p23-0053-0059-0625,19,280.0,36,38.94276168687003,38.94276168687003,49.669682653404855,43.397849293297924,38.75204849243164,34.834296197697206,31.618433792250496,1.057442808804515,0.9977708096882062
p23-0053-0058-0656,20,291.0,35,37.02217802722839,37.02217802722839,46.4457164769352,40.62767667528093,36.828800201416016,35.02983340692828,34.31925418368729,0.7956389864599946,0.8202138458189788
p23-0053-0058-0687,21,302.0,37,41.263341745793426,41.263341745793426,50.33344039561919,45.13174706887824,41.70545196533203,36.04906746448013,35.259583984779205,1.0413115316117427,1.0730600024801709
p23-0053-0058-0720,22,319.0,37,41.27556436712091,41.27556436712091,52.61595426425423,45.741320505605685,41.30802536010742,34.639546270220606,36.183437993160226,1.3143403835892349,1.3892635906693236
p23-0053-0057-0752,23,323.0,37,41.50658126216924,41.50658126216924,49.59517923336038,44.99628630516103,41.38687515258789,37.747960526753744,37.85510243867573,1.7867606636659121,1.838113498484756
p23-0053-0058-0784,24,319.0,38,41.387443082085966,41.387443082085966,51.26811966526796,45.592313665516755,41.65846252441406,36.94920528210833,37.227083008864824,1.8429404292558704,1.7862528434437832
p23-0053-0059-0816,25,308.0,37,36.25226065400359,36.25226065400359,46.16124887312906,40.5802654079799,36.26454544067383,36.24066037313318,34.858567169734414,3.244693507672208,3.128761482666936
p23-0053-0058-0847,26,319.0,37,35.914264326185275,35.914264326185275,44.65086135768213,40.15356400227068,35.980125427246094,35.867575613822815,34.63876174161427,2.365142329071262,2.22860902732933
p23-0053-0058-0879,27,320.0,38,37.3857207596302,37.3857207596302,46.54053901153725,40.59381148435162,37.421630859375,36.44265471677473,38.497280198335645,2.562921481783501,2.644606147230479
p23-0053-0059-0912,28,339.0,38,39.84612174582692,39.84612174582692,50.63822711398293,44.772776045027626,40.286399841308594,38.339929357469885,39.85916184957048,3.443212682787856,3.3187688499974817
p23-0053-0058-0944,29,337.0,38,40.151593205483096,40.151593205483096,49.60195227154625,44.285117295645655,40.170936584472656,35.30703479788164,39.18876354772189,1.9513432679332403,1.9487311369642748
p23-0053-0058-0975,30,302.0,37,35.28497201401666,35.28497201401666,46.4795816678645,39.95714589488073,34.83818817138672,36.57649935784474,34.892595524819484,1.6825402237704943,1.4987307237137406
p23-0053-0059-1007,31,345.0,39,41.59512381069902,41.59512381069902,52.290848431332925,46.4118512860059,41.86270523071289,36.47250325847721,40.74583378045456,2.8948543009538663,2.825246900298457
p23-0053-0058-1040,32,375.0,39,40.29194009399414,40.29194009399414,50.63145407579706,43.8651889281223,39.76009368896485,37.0960849118158,41.490287556966145,2.5234087592669954,2.4707006683945654
