,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p24-0035-0065-0014,0,155.0,28,14.678250105727106,14.678250105727106,25.677925467671233,18.57548078317395,14.712648391723633,27.23959279829456,27.23959279829456,1.081504833554068,1.081504833554068
p24-0035-0076-0046,1,133.0,29,17.943990130173532,17.943990130173532,26.688459230380627,20.935306785864643,17.126834869384766,27.484794117756678,26.19137110028948,-1.161585795064159,-1.2404126638206971
p24-0035-0078-0078,2,191.0,37,21.952198373085537,21.952198373085537,28.72675176311832,24.73629173423748,21.818584442138672,27.53678795721789,26.09285929814683,-1.4485750423533936,-1.6335168973206304
p24-0035-0079-0109,3,252.0,39,29.064509206348,29.064509206348,35.92680482242276,32.051178175667985,28.95444107055664,28.603474832321297,32.412633494725306,-0.7867396739251875,-0.9791788952425122
p24-0035-0095-0142,4,120.0,21,27.08071199258169,27.08071199258169,37.8732306494596,31.907636448010393,26.634565353393555,29.934203888636144,29.937692777315768,-2.1518615696005994,-2.4106880478560924
p24-0035-0099-0173,5,184.0,27,37.15604861922886,37.15604861922886,44.53356681277152,40.74406520261129,37.38624572753906,28.277927800582486,32.087604740391605,-0.3669476214033159,-0.5082398021477275
p24-0035-0099-0205,6,154.0,24,35.545236921929686,35.545236921929686,45.13070039982707,39.87133149845317,35.458953857421875,27.20186566396615,31.08427207500904,0.780483798902849,1.0453851152840372
p24-0035-0098-0237,7,139.0,26,32.138300916273806,32.138300916273806,41.17469038558404,35.81771310940299,32.38254165649414,26.144057898528377,25.12141358080528,-0.7104045391034737,-0.7782495715152874
p24-0035-0103-0270,8,198.0,29,40.610930568040025,40.610930568040025,50.36710262477576,44.499116798133706,40.68688201904297,30.049353716076606,32.31039805364127,0.38850486911445237,0.5066458822340902
p24-0035-0105-0303,9,158.0,23,32.52632226823251,32.52632226823251,40.96224862865082,35.70287972727692,32.43404006958008,30.909691815645584,29.14793163009837,-1.169841922429186,-1.2933472712889689
p24-0035-0104-0336,10,235.0,31,39.272464492473205,39.272464492473205,48.11062666599854,43.36800798419194,39.1493034362793,31.33817865079325,34.72786304392713,2.096410253244786,2.7734756765649355
p24-0035-0104-0367,11,244.0,31,37.16072664104525,37.16072664104525,45.968984089347366,40.73258186439868,37.38638305664063,30.615921931119086,31.00709261268866,-0.916594416259822,-1.04901552082757
p24-0035-0105-0399,12,203.0,31,34.69980225774455,34.69980225774455,45.40630051692963,38.102897413711744,34.13973617553711,33.47492651655893,31.066970735935154,-0.4998976518273216,-0.5187462411013436
p24-0035-0107-0432,13,236.0,35,37.29079134989593,37.29079134989593,47.168992932564755,41.90388236208457,37.41493225097656,34.183035313151905,30.851671873512913,0.38970410215108,0.3968507482875454
p24-0035-0105-0465,14,202.0,31,36.330867408525826,36.330867408525826,43.56896640291255,39.84836482202796,36.295005798339844,36.27395868319566,33.04955468791546,0.6539375796356611,0.6329162600323429
p24-0035-0108-0496,15,233.0,33,38.3229713358081,38.3229713358081,49.21876880351508,42.07613243527367,37.867713928222656,34.749010798137206,30.716254508546484,0.04950124994150224,0.045214612899316164
p24-0035-0107-0529,16,299.0,36,41.98408814497217,41.98408814497217,53.542245640561525,46.66946772031638,41.73588943481445,33.87691252182589,30.167428204845823,1.9961043152741498,1.9381034202778025
p24-0035-0106-0561,17,309.0,37,45.647140725145064,45.647140725145064,57.544189007654964,49.90776909627148,45.21154022216797,32.25774003163072,33.094442491006696,-0.6832701456404713,-0.7478443959782135
p24-0035-0106-0592,18,283.0,37,39.32635752809343,39.32635752809343,49.19006045798356,43.034991176026345,39.06450653076172,32.4217325165365,29.23392427599472,0.7207759350819198,0.6689720351887413
p24-0035-0105-0625,19,275.0,39,37.80261092446067,37.80261092446067,48.518285172546065,42.42637425075818,37.89546203613281,33.25625689057963,29.7545111430775,0.8785567241399899,0.8698732141015881
p24-0035-0107-0656,20,256.0,36,39.97661432623863,39.97661432623863,48.391968452207394,43.23594959474696,40.06903076171875,34.26816749415944,29.46939131617546,0.03938829638332356,0.034902596191386685
p24-0035-0109-0688,21,250.0,32,42.60320794677735,42.60320794677735,51.66471984280031,46.49147597802097,42.737037658691406,34.09603671069458,32.100166679382326,-0.061407359058254084,-0.06072047638893128
p24-0035-0106-0720,22,276.0,37,41.03700393870257,41.03700393870257,51.073327924851064,45.56132558279982,41.056129455566406,31.004272156231757,31.036254585653108,0.01052642101801611,0.010138594232874151
p24-0035-0109-0752,23,236.0,31,42.403471607272905,42.403471607272905,50.92404452808718,46.23310086823732,42.2826042175293,29.951524999464077,30.204553515224127,1.623446550218097,1.6224629557060108
p24-0035-0109-0783,24,230.0,31,43.06334362859311,43.06334362859311,52.560420223383645,46.950809506525246,43.293060302734375,31.60695151545921,31.052986443561053,2.248663487010859,2.2353843873771635
p24-0035-0108-0815,25,192.0,31,36.32578461368879,36.32578461368879,46.726884411379395,40.841673577418454,35.87846755981445,29.311808640305586,27.838924253980323,0.11023385849364255,0.10079414690456663
