,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p25-0020-0069-0014,0,309.0,38,16.179154141821133,16.179154141821133,29.390860012069286,20.512067866250806,16.110042572021484,27.229543809366067,27.229543809366067,2.4540313678043124,2.4540313678043124
p25-0020-0085-0046,1,154.0,19,20.28261644190008,20.28261644190008,27.292094557565626,23.531481363994,20.144752502441406,31.35238299296974,29.87695284632893,4.08960557875734,4.367132046102704
p25-0020-0085-0077,2,158.0,20,21.863611335995827,21.863611335995827,28.89152548014277,24.811026102055717,22.05369758605957,31.71404521413756,30.051076430308672,6.582420424135003,7.422808397019023
p25-0020-0085-0110,3,179.0,22,26.669717522306808,26.669717522306808,36.38934556110197,30.55337321921073,26.829509735107425,27.438126757171766,31.092094634498302,9.299162566838016,11.573769609771626
p25-0020-0089-0142,4,193.0,23,23.72574595713245,23.72574595713245,31.481823364511605,26.644520086473413,24.199129104614254,25.810641194464512,25.813649474030328,8.32973711595596,9.331640097529775
p25-0020-0091-0175,5,210.0,25,31.07749546595982,31.07749546595982,42.06147375970481,35.36727019106486,31.342449188232425,24.934943918144544,28.29424526123773,9.031797007831264,12.509465810798464
p25-0020-0092-0206,6,222.0,28,32.484244793384995,32.484244793384995,40.51665755155713,36.568793908513065,33.09398651123047,23.44422866106903,26.790323549562746,9.037773475100032,12.105253023137381
p25-0020-0094-0237,7,208.0,31,29.20670667061439,29.20670667061439,37.052524236316884,33.50256779840176,29.384754180908203,22.759087233136093,21.868848566825577,11.532483163178432,12.633858015008556
p25-0020-0095-0271,8,245.0,34,36.464911449198816,36.464911449198816,43.63749837609791,39.393154854722454,36.50670623779297,22.677246130014044,24.383580962979067,12.004691275355134,15.655215379960685
p25-0020-0087-0303,9,98.0,15,28.932539745252964,28.932539745252964,36.64681492912658,31.88753267170191,29.29895401000977,23.753025897537448,22.39917431072313,11.180292196473568,12.36064473950133
p25-0020-0087-0335,10,116.0,16,35.18818496835643,35.18818496835643,42.43597465864971,38.706569873323495,35.38618469238281,22.824947521551195,25.29380090483304,14.838696851880023,19.631064447863352
p25-0020-0086-0366,11,116.0,16,33.399411398788985,33.399411398788985,41.866421208171026,36.412751867286026,33.054443359375,24.37372067971626,24.68513658128936,14.838118487831528,16.981792947341653
p25-0020-0087-0399,12,117.0,17,27.88629540011414,27.88629540011414,34.85233145501564,31.388198139775387,28.00422286987305,25.53670106085,23.69976657476181,16.066540380614686,16.67232762442695
p25-0020-0087-0431,13,103.0,16,27.340766425271635,27.340766425271635,33.95508971796016,30.171070218204484,26.8148193359375,22.04358758811704,19.89529381909417,16.66778566391738,16.973450308864557
p25-0020-0090-0464,14,93.0,16,33.180291616788466,33.180291616788466,42.70904823079702,37.3412020125869,33.05963516235352,23.81720975718566,21.700090228870355,19.06918535424906,18.456191924310502
p25-0020-0090-0495,15,105.0,16,29.72374425615583,29.72374425615583,40.43863653094361,32.488294530426,29.07653999328613,24.708269574702374,21.840779903956822,20.59022973583666,18.807187053135465
p25-0020-0088-0527,16,135.0,19,34.060339313083226,34.060339313083226,40.391823918575504,36.966701113642,33.98265838623047,22.895976360961612,20.388892364501952,22.88008658374775,22.21525885440685
p25-0020-0087-0558,17,138.0,21,37.03279777195143,37.03279777195143,48.38117642939987,41.14862781852664,36.43812561035156,20.31535964751688,20.84230020080788,23.12576373460998,25.311325135438338
p25-0020-0087-0590,18,129.0,20,34.383236271466394,34.383236271466394,43.5906857637298,37.848338646574774,35.072826385498054,22.601867992556105,20.37958017985026,26.095252261805406,24.219723723655523
p25-0020-0090-0624,19,148.0,20,33.09334172429265,33.09334172429265,42.997726007067044,36.1396782951387,33.10138320922852,19.849841559559223,17.759735673666,23.560638012591593,23.32776854489301
p25-0020-0087-0654,20,152.0,22,32.47561696328615,32.47561696328615,43.723321498772776,36.568793908513065,32.279823303222656,20.643765561395824,17.752895764614404,26.080147033066186,23.110033286245248
p25-0020-0090-0686,21,146.0,20,33.498823401046124,33.498823401046124,41.866421208171026,37.09933684868499,33.47607421875,19.714955800784097,18.560907024226772,24.45935513639308,24.18576077565755
p25-0020-0088-0719,22,132.0,19,35.083871451291174,35.083871451291174,45.30714821722721,39.33854014029299,34.862380981445305,19.37707658627199,19.397064992424205,26.764976176401767,25.77886944106131
p25-0020-0091-0750,23,123.0,18,37.61043063218032,37.61043063218032,47.00020436454058,40.08754193818278,37.090675354003906,19.554141053301695,19.71933315246086,26.513387536394113,26.497323920087123
p25-0020-0090-0782,24,127.0,20,34.26515769958496,34.26515769958496,43.294205885398405,37.83273444245207,34.10677719116211,16.63973159136953,16.34809226313914,28.39899924161308,28.231293783413143
p25-0020-0090-0815,25,132.0,21,33.26982689626289,33.26982689626289,43.60628996785249,37.62207768679557,34.637130737304695,17.179762459998575,16.316499322652813,28.453718320466805,26.017126711932093
p25-0020-0090-0846,26,120.0,17,35.317699130376184,35.317699130376184,42.3891620462816,38.41008999499212,35.62049865722656,15.601542674034823,14.665212274591127,26.082709897402918,23.33263769944509
p25-0020-0093-0879,27,139.0,22,42.78952081254918,42.78952081254918,54.3653887104568,47.58536201914198,42.55644607543945,16.043501737838575,16.555001200531887,24.135670207154348,24.255340034155537
p25-0020-0091-0910,28,147.0,23,41.27581414722261,41.27581414722261,53.1638649930086,46.18878575015998,40.71338653564453,16.17333801696141,17.123686493659505,22.8394112760766,24.423647199358264
p25-0020-0093-0943,29,120.0,23,40.51190977096557,40.51190977096557,50.035222066406476,43.684310988466,40.25802612304688,17.52961651897225,17.168983399868008,28.87893218691107,26.784747195243835
p25-0020-0092-0975,30,123.0,19,34.458663382181314,34.458663382181314,42.615423006060794,38.02778699398587,34.83475875854492,16.002909044048565,14.100616664178972,23.240997247125804,19.94690338382876
p25-0020-0094-1006,31,170.0,25,44.95247292238123,44.95247292238123,54.5448370578679,49.660721167461595,44.80593490600586,16.604392461135618,17.735768382689532,25.528204716236882,26.586237610087675
p25-0020-0095-1039,32,161.0,24,44.85054523159999,44.85054523159999,53.71781423936458,49.41105390149832,45.37500381469727,16.207670270391862,16.479734324520418,23.80399400178038,23.659535254010507
p25-0020-0094-1071,33,189.0,28,44.88830063835023,44.88830063835023,58.07138718959897,49.79335690250457,44.40824890136719,15.252096459114135,15.266676141313775,22.406959526238925,20.919268022769344
p25-0020-0093-1101,34,149.0,23,46.789682170688714,46.789682170688714,55.3874640804939,50.16005569938811,46.5934066772461,14.401065204644809,15.070875932706285,22.08207983311335,21.96326291001083
p25-0020-0095-1134,35,140.0,23,45.893099076407296,45.893099076407296,55.90240281654313,50.807630170480316,45.77406311035156,15.637173926366518,15.992876388771196,20.523151926114462,20.804220529964997
p25-0020-0103-1166,36,91.0,13,43.44232104374812,43.44232104374812,53.5227616878308,48.506010062381506,44.7672233581543,14.042741346797252,12.86833678881873,24.88590261951399,22.25447542588789
p25-0020-0099-1198,37,112.0,13,51.81266403198242,51.81266403198242,63.82153640881533,57.33018749377053,52.04068374633789,12.114544474561548,12.718690600778375,20.42032903661538,21.27250625193119
p25-0020-0104-1229,38,100.0,12,49.52625431060791,49.52625431060791,58.09479349578302,52.22761274564637,48.8568115234375,14.230906500174953,14.96742325782776,21.095014727926525,20.9000835943222
p25-0020-0103-1262,39,112.0,13,52.298965896878926,52.298965896878926,67.34808654054639,58.4536901906052,51.95988464355469,15.407225822569691,15.513104457940376,17.715458024048758,18.963778197765354
p25-0020-0101-1294,40,110.0,12,51.34984970092773,51.34984970092773,66.20897963958902,56.971290798948345,51.0300178527832,14.46348885992243,14.394380795329132,16.841353607823297,15.676215958595275
p25-0020-0104-1327,41,138.0,17,52.05166421420332,52.05166421420332,62.40155383364928,57.353593799954574,52.71435546875,13.568651449031528,13.416819193224974,19.52741784314363,19.128697858340498
p25-0020-0104-1357,42,110.0,13,53.856382994218315,53.856382994218315,64.59394451288918,60.060923215243704,54.7745132446289,13.103707985542384,12.865486218712547,17.05022924807164,16.608604231747712
p25-0020-0102-1390,43,142.0,15,55.88349812467333,55.88349812467333,65.52239465819005,61.00497756466729,55.08012008666992,13.2104472540427,13.69324469062644,17.879718823119816,18.08970900656472
p25-0020-0103-1422,44,107.0,13,55.39671785586348,55.39671785586348,65.3507484128403,59.64741180599205,55.18439865112305,10.990197911540294,11.316172671095233,16.694824644426614,17.38011683704697
p25-0020-0105-1453,45,99.0,13,55.20771465879498,55.20771465879498,66.06854180248469,60.0141106028756,55.094444274902344,13.853553963870286,13.04245799719685,17.51391442989169,16.374723236970226
p25-0020-0102-1486,46,82.0,12,60.55694385593386,62.42749763116604,72.6067033298976,67.12182558076721,63.10299682617188,17.28487844338145,17.501117831323207,15.537370309745741,15.50037216558689
p25-0020-0102-1518,47,110.0,15,55.32241323967716,50.229541015625,59.015441539022554,54.076710934186785,50.587669372558594,15.260176338503765,13.786865247379652,18.451036918651102,16.362208832393993
p25-0020-0103-1550,48,124.0,15,59.013084302901724,59.81519751394949,75.22820962251184,67.43390966322127,60.4444580078125,14.578509073131015,14.504658820167663,19.31202519558007,18.942909106131523
p25-0020-0104-1581,49,146.0,15,57.72046313803965,59.06074646727679,70.92925138670692,65.27272739222678,59.47771835327149,16.834014006195854,17.592213967075086,17.540704640996484,18.049699479586454
p25-0020-0105-1614,50,145.0,16,60.468338256099486,59.941172737910826,74.54942674317422,65.75645772003061,60.2802963256836,14.239098066213746,14.235586379314293,16.10447018823509,15.581031141609984
p25-0020-0105-1646,51,115.0,14,74.96295396317467,75.19743390290634,89.96638041640563,82.41394562101695,75.11774444580078,17.103312721458927,17.530288816534956,15.3761262781707,15.44773535521134
p25-0020-0105-1677,52,132.0,13,83.05383238338993,85.42003643151486,107.466495340018,95.0143404501003,85.40660095214844,12.882434715194792,13.127302878733838,15.18659890844581,15.200939148664474
p25-0020-0103-1708,53,54.0,9,90.28236082080129,96.34770711263019,121.29962229479494,108.90208211930671,93.3770751953125,15.550052466053556,17.189885519168996,15.191615069729513,15.914719034124305
p25-0020-0105-1742,54,175.0,17,96.23877705995298,104.15454110281807,143.62143629232278,122.6493859514088,101.81381225585938,14.493835196718512,15.766029232570105,13.912820699077669,14.906866018601828
p25-0020-0106-1775,55,179.0,17,111.59910578617186,102.36305324192152,144.58889694793044,119.48173251449995,99.0594253540039,13.159862144192227,12.350802879759721,13.094384361144932,11.60378174621133
p25-0020-0107-1807,56,174.0,16,121.95887500891527,127.37670433658293,177.59959076951043,149.19993926618943,122.83695220947266,14.897847853759819,16.082952777544662,10.735463301972421,11.490751230939367
p25-0020-0107-1838,57,166.0,16,160.36506968600523,148.94567337955337,210.36061732512715,174.9234697624667,142.771240234375,11.10695297614351,10.42855693561485,10.691484338800212,10.273285049720704
p25-0020-0105-1870,58,151.0,15,191.90638739445694,208.33884141934632,296.70648083810886,248.4348753845246,202.69821166992188,14.319910657331233,15.494239128188582,11.129546765879919,12.491417273780367
p25-0020-0106-1903,59,175.0,16,286.364221463569,307.0793280901228,459.29448569462164,367.4949528407549,294.5664367675781,12.13452068396926,13.042351752689907,10.48915621686659,10.941832764361584
p25-0020-0106-1935,60,159.0,16,315.91582814271203,276.0429126091724,395.98042746675077,335.06941667377635,261.5390625,13.45608354299294,11.960610087562655,10.670091939183996,9.429190040665604
p25-0020-0105-1967,61,170.0,17,312.84642072073365,315.38615982953235,460.3087589625973,392.0871785381361,295.85260009765625,11.24308134148981,10.747522436958905,9.010513631093382,8.51467083070208
p25-0020-0105-1998,62,187.0,17,291.29241563898523,301.93079625094003,431.3005434984909,362.67325376683937,292.4178161621094,14.978858059450529,15.629575646178608,9.327608082805492,9.589674515520187
p25-0020-0105-2030,63,183.0,18,283.8544754916192,293.59421701900294,430.4033017614354,347.8180514420253,280.43136596679693,13.455966355057788,13.661457763343561,9.104918342013054,8.82560479022115
p25-0020-0105-2062,64,181.0,19,291.5436480824109,270.03975395076185,380.9457767945256,322.1725419663616,256.36007690429693,11.38097975991253,10.009454229121092,8.58025421872106,7.273007185285839
p25-0020-0106-2095,65,215.0,21,289.28064687012807,301.8568638291469,426.2603855668576,363.03995256372286,289.0029296875,12.977239160714467,13.492529788682628,8.050671582032601,8.59239080686902
p25-0020-0105-2126,66,215.0,20,280.7463425110417,302.46082564952764,438.50968580318016,362.54842013385775,287.29833984375,13.51859828275303,14.352784023728482,7.097032756991014,7.3716895420721515
p25-0020-0104-2159,67,221.0,21,282.30432141385575,295.9510006451498,433.88303928079836,355.99465440232217,283.2882995605469,13.762034050332403,14.102437610539914,9.019348201015436,9.084525298782332
