,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p25-0038-0085-0015,0,112.0,18,19.107096165418625,19.107096165418625,31.59677055279141,24.252828074,19.368377685546875,33.94772462333952,33.94772462333952,2.893460229346861,2.893460229346861
p25-0038-0088-0046,1,88.0,15,22.80478423833847,22.80478423833847,33.631529935739444,26.62956382383005,22.888431549072266,33.02710975611959,31.472867662256412,6.631734973781155,7.081773967566815
p25-0038-0089-0078,2,117.0,20,23.235951765989647,23.235951765989647,29.86124049086515,26.039654590958566,23.53997802734375,33.6240325858222,31.86091103513016,5.245211038993153,5.91487538559824
p25-0038-0090-0110,3,95.0,18,30.50716572811729,30.50716572811729,40.15472913401399,36.23909973321485,30.57126235961914,34.71657302190784,39.33982021934108,9.745489197899976,12.129269264873704
p25-0038-0091-0142,4,112.0,21,28.150208490235467,28.150208490235467,35.999716276397436,31.237695367565287,28.55131530761719,31.916305544426514,31.92002545084272,8.375120896883885,9.382482651621103
p25-0038-0090-0175,5,90.0,19,38.080856641133636,38.080856641133636,50.45676718633489,41.915907423456396,37.79998779296875,36.52447307977814,41.445146327548564,9.222415982803039,12.773482102155686
p25-0038-0092-0206,6,95.0,22,39.62610373246042,39.62610373246042,50.114790819452885,43.69418453124293,39.9840087890625,33.00357540627008,37.71403513456646,7.667253887550956,10.269570105640511
p25-0038-0092-0238,7,110.0,20,33.82032907659357,33.82032907659357,44.62607013099642,37.444566426473976,33.86545562744141,30.817359784523706,29.61191577911377,9.379779638636744,10.275567064772952
p25-0038-0093-0270,8,161.0,26,44.67825146787655,44.67825146787655,54.52628595223095,47.712406842106674,44.38690185546875,30.362169243454108,32.646751184641204,8.270627138895708,10.785654226075046
p25-0038-0092-0302,9,156.0,23,34.946398111490105,34.946398111490105,44.07890794398521,38.932163622410776,34.53827667236328,25.180766272857134,23.745537745646946,8.398931737839916,9.2856438435041
p25-0038-0104-0334,10,58.0,11,47.7252061120395,47.7252061120395,59.36525154361156,51.294609285195854,48.052978515625,26.3851553369725,29.23909749655888,10.725769780935744,14.189809248365204
p25-0038-0102-0365,11,69.0,11,43.550271904986836,43.550271904986836,49.678770951678295,46.28465551037424,43.95028305053711,28.093257381222013,28.4521967155346,8.28700750044125,9.484237886425378
p25-0038-0106-0399,12,93.0,14,38.758199876354595,38.758199876354595,47.90904325306384,41.42004169147747,38.46400451660156,25.416874657804577,23.588559658296646,12.100152598748922,12.556387601360196
p25-0038-0106-0430,13,90.0,15,37.492480977376296,37.492480977376296,45.6690980499866,40.67624309350909,37.01753616333008,20.76781049090977,18.743849658966067,10.238216643683764,10.425971689158015
p25-0038-0106-0463,14,112.0,18,42.227658067430774,42.227658067430774,55.261535141027295,48.259569029117905,42.61433029174805,20.21545945344374,18.41850068207298,13.78538108550297,13.342239552310536
p25-0038-0107-0496,15,88.0,15,41.307125546715476,41.307125546715476,48.98626880874221,45.09628763545921,42.39781188964844,21.19968721095022,18.739382011646573,14.864073866462219,13.576896477829326
p25-0038-0106-0527,16,142.0,21,44.5562838836455,44.5562838836455,53.67989444419796,48.31086548415021,45.39886093139648,21.716830949298956,19.33886206653756,13.63950644180148,13.243182675112825
p25-0038-0108-0558,17,114.0,17,51.54678056951155,51.54678056951155,66.82888575081168,57.757962619266046,52.1219367980957,19.74276704532457,20.25485567042702,15.265008480136853,16.707668437246692
p25-0038-0111-0591,18,63.0,13,44.41585770864335,44.41585770864335,53.39776394152028,50.012197909388256,45.67615127563477,18.52290460940372,16.70167349775632,13.296906547251591,12.34122589514369
p25-0038-0112-0623,19,62.0,12,47.03145974682224,47.03145974682224,57.698116755061704,51.05522582837844,48.11577606201172,19.603823909594194,17.539622660606142,17.94313073728514,17.765783786773678
p25-0038-0110-0655,20,93.0,17,44.860129776821346,44.860129776821346,59.869666684762535,50.27722959372185,45.11218643188477,20.714479735622472,17.813707410648306,14.473535124814406,12.82522978417335
p25-0038-0110-0686,21,79.0,17,49.796134272708166,49.796134272708166,59.339603316095406,54.11591431197253,50.80215454101562,19.501238014307514,18.359699575206896,20.74150018524174,20.50949253613436
p25-0038-0111-0718,22,77.0,13,50.06133498154677,50.06133498154677,62.836311667464074,56.46700183428642,49.09082794189453,19.955063502646606,19.975648130689347,21.008082546100365,20.234078057594115
p25-0038-0114-0749,23,110.0,22,50.16641419150613,50.16641419150613,58.90358344832083,54.19285899452098,50.77838134765625,20.905021245634263,21.08162549192255,19.64854930458115,19.636644874919547
p25-0038-0111-0782,24,85.0,16,51.20505155675552,51.20505155675552,62.118161297011824,54.85971290994093,50.83233642578125,20.96255837375606,20.59515422372257,22.471824231201474,22.339120696572696
p25-0038-0110-0813,25,110.0,18,43.73034019470215,43.73034019470215,54.19285899452098,49.34534399396833,43.67118835449219,20.768289334429813,19.72470688386397,23.4307112598998,21.42425734780052
p25-0038-0113-0846,26,91.0,15,46.493055196908806,46.493055196908806,54.4664400880266,49.516332177409346,47.19528198242188,21.089236673749628,19.82356097672012,20.94231701026501,18.734230350662067
p25-0038-0115-0878,27,108.0,20,51.033800548977325,51.033800548977325,65.52937555666,56.46700183428642,50.63751983642578,19.73598828646387,20.365211729650145,19.727835077218682,19.82564991271055
p25-0038-0114-0911,28,77.0,14,49.888454734505,49.888454734505,59.81837022973024,53.73119089923026,49.47776412963867,22.790860037140217,24.130055390395132,22.969505105033537,24.56276487375235
p25-0038-0112-0942,29,127.0,18,48.14901134160561,48.14901134160561,61.41710974490368,54.586131816435305,48.06890869140625,21.535038390334293,21.09200256828248,23.77013933078752,22.046423622942342
p25-0038-0112-0974,30,99.0,16,41.80306496283021,41.80306496283021,52.1153525657127,45.925580325148104,41.42782211303711,21.05124150477995,18.54884545971649,22.44660569503185,19.265105982019445
p25-0038-0113-1005,31,103.0,15,56.294354188789434,56.294354188789434,67.75222194139313,62.18655657038824,56.78794860839844,23.853804135090876,25.47913428186213,28.353410618131033,29.52853599103909
p25-0038-0116-1039,32,121.0,18,49.91549531290354,49.91549531290354,62.93035516835663,54.74857059070426,50.31523895263672,17.826510500768205,18.125748616851066,27.14701541267647,26.98226894820032
p25-0038-0114-1071,33,85.0,14,49.69324183744543,49.69324183744543,62.16090834287208,54.72292236318811,49.4789924621582,23.26841151933402,23.2906541038962,28.46740861981967,26.57733862259809
p25-0038-0113-1102,34,100.0,16,48.47951869964599,48.47951869964599,59.698678501321524,51.73917856214247,47.64784240722656,21.852734609871774,22.86913137435913,27.253044138943615,27.10640383720398
p25-0038-0115-1135,35,139.0,20,47.00480529730268,47.00480529730268,58.450464762202145,51.90161733641144,47.694580078125,22.318684356158233,22.82637270320234,24.69130528149582,25.02945756569183
p25-0038-0115-1166,36,138.0,19,42.96756249579831,42.96756249579831,54.87681172828503,47.430276339429,43.58420944213867,18.99749450929589,17.408720381018046,26.53195497345974,23.726474742958512
p25-0038-0112-1199,37,108.0,16,46.86051518828781,46.86051518828781,56.42425478842617,51.2347634209915,47.72946166992188,21.957914148645067,23.052944077385803,26.151033526234706,27.242363391099158
p25-0038-0113-1230,38,113.0,16,49.158314628938655,49.158314628938655,57.168053386394575,52.67961357106803,49.72882843017578,22.515638699699885,23.68092955530217,27.82855813263455,27.57140484531369
