,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p26-0008-0079-0014,0,281.0,37,16.59874105310313,16.59874105310313,28.2146682597229,21.991327919395765,16.777177810668945,30.81613842872538,30.81613842872538,2.811731618931815,2.811731618931815
p26-0008-0069-0045,1,128.0,18,19.551832750439644,19.551832750439644,27.081076926338127,23.26947116777591,19.529735565185547,28.2324691386777,26.90386084467173,4.966296287478805,5.303316236691899
p26-0008-0067-0077,2,90.0,16,20.932189093695744,20.932189093695744,30.95354664910892,25.422533901654372,21.80697631835937,29.17044556213264,27.640853860643176,5.743593375827792,6.476886979573302
p26-0008-0071-0108,3,151.0,21,25.77754370582025,25.77754370582025,37.19971097601427,28.86895587496512,25.07744026184082,29.184026411350743,33.070497815972125,6.998700311605963,8.710606400540334
p26-0008-0069-0140,4,118.0,23,21.991337331674867,21.991337331674867,34.53691254188897,25.69642174059297,21.212879180908203,26.23406360828937,26.23712123854685,6.162085761536539,6.903263065364149
p26-0008-0069-0173,5,155.0,23,28.138076745310133,28.138076745310133,39.34516571436666,32.224081901963004,28.53306579589844,26.453621982966606,30.017523636356483,5.84272833042653,8.092454937581094
p26-0008-0071-0205,6,156.0,23,31.020791169924607,31.020791169924607,42.98939557135529,36.34761547709417,31.09028244018555,28.18909257478937,32.212401677400635,8.6346127618458,11.565256921622233
p26-0008-0071-0236,7,102.0,19,24.96168197370043,24.96168197370043,32.901193503783425,28.12337231341003,25.03436088562012,28.037667554022985,26.940953282748946,8.592337722870903,9.412922895422168
p26-0008-0068-0268,8,127.0,19,29.848826528534175,29.848826528534175,39.2234377859495,34.57495251951933,30.085834503173828,28.06697051977369,30.1788517058365,8.651172132473718,11.281919702594204
p26-0008-0071-0302,9,102.0,17,26.196796015197158,26.196796015197158,37.40512685521822,30.192747096501694,25.433204650878906,26.70818869815578,25.18590165119545,10.36100426645749,11.454860984986905
p26-0008-0068-0334,10,150.0,21,31.28088518778483,31.28088518778483,40.52440502090785,34.99339227345331,31.41106414794922,26.07339022477951,28.893610407511392,10.340363545108511,13.679930602709453
p26-0008-0071-0366,11,113.0,18,30.959133637689916,30.959133637689916,41.94710018428338,34.787976394249355,31.12677764892578,25.73077850353416,26.05953313608085,11.579998822955432,13.252970213383698
p26-0008-0068-0397,12,110.0,20,27.30302790728482,27.30302790728482,34.247808711898216,30.66444281911817,27.767017364501953,23.76503235418956,22.0555395191366,11.539987030515443,11.975101048296148
p26-0008-0069-0429,13,178.0,25,27.58052788423689,27.58052788423689,34.98578427792724,31.08288257305216,27.731037139892575,21.76189963416785,19.64105822397082,11.503373625057076,11.714329938372867
p26-0008-0069-0461,14,171.0,25,25.9632187224271,25.9632187224271,33.563089114551715,29.698227387306996,26.22565269470215,20.859654558141276,19.005433074215,12.706352697429045,12.29789735036984
p26-0008-0068-0493,15,159.0,21,31.847050540852102,31.847050540852102,44.161026882370415,36.79648721313244,31.81287956237793,20.34238742319675,17.981575160000308,11.906963326772273,10.875861483549922
p26-0008-0073-0525,16,186.0,26,30.470781859531197,30.470781859531197,42.96657158477705,34.61299249714969,31.026277542114254,19.189749845223133,17.08849353823931,12.968301450582882,12.591480918228624
p26-0008-0073-0557,17,220.0,26,37.7559850952842,37.7559850952842,47.69113680646796,41.749292300605504,37.48583221435547,18.53107535311337,19.011735074086626,13.365616326354886,14.628769209710036
