,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p26-0011-0068-0014,0,298.0,41,15.957397985778401,15.957397985778401,30.302252976881825,21.162417908774238,15.530014991760256,36.31308110448339,36.31308110448339,1.5884212346610007,1.5884212346610007
p26-0011-0083-0046,1,111.0,17,21.707120629044265,21.707120629044265,32.1940031376876,25.95340203250074,21.53243827819824,33.41965227324935,31.846937291257014,5.133757133265771,5.482141214313809
p26-0011-0089-0076,2,97.0,18,22.80321799602705,22.80321799602705,39.166660818511936,28.54096834440749,22.07024574279785,34.25946195408838,32.46302080646004,6.254257675804843,7.0527485942506445
p26-0011-0090-0109,3,167.0,22,30.550421126588372,30.550421126588372,40.42057950747515,35.09323710060833,30.383771896362305,32.54042506658938,36.873872060261796,5.569333323047479,6.931611346471274
p26-0011-0090-0141,4,121.0,21,24.814980372909673,24.814980372909673,37.26766257279887,29.27302492004497,24.86019897460937,32.482645049826,32.48643096419406,5.26803846311906,5.9016795216266775
p26-0011-0093-0172,5,135.0,21,34.40696673923068,34.40696673923068,45.55222362184485,39.681274846930364,34.02262115478516,28.626781151522092,32.483456533926514,5.1177040177428,7.0882619908562425
p26-0011-0096-0205,6,140.0,20,34.825385553496226,34.825385553496226,50.821581349453275,41.21786884727836,35.18486785888672,31.354695957989023,35.82981814656939,7.356511129006833,9.853359218340898
p26-0011-0095-0237,7,134.0,22,30.254739562077308,30.254739562077308,41.145387998205344,33.788581817294,30.87432098388672,31.49210518700813,30.260268012089515,8.546496553082575,9.3627038036487
p26-0011-0094-0269,8,156.0,25,40.38679961669139,40.38679961669139,54.62682592578671,45.8421470181369,40.986122131347656,32.53436894391225,34.982396657650284,9.821078237378975,12.807584263766424
p26-0011-0096-0300,9,112.0,23,34.054557170186726,34.054557170186726,46.10307807479978,39.99294249794436,33.95986175537109,29.608581633416925,27.92098084517888,10.674104899538321,11.801017026816096
p26-0011-0094-0332,10,158.0,27,41.12570749355268,41.12570749355268,52.16972514221141,44.57373215935909,40.86692810058594,27.537459413054858,30.51604018633879,10.738341808148542,14.20644159006733
p26-0011-0095-0364,11,111.0,24,39.5012413918435,39.5012413918435,50.183749877610715,43.74745047992669,39.70978546142578,26.07775628206978,26.4109441482269,11.776822601657418,13.478229275694838
p26-0011-0084-0398,12,72.0,12,35.15388525856866,35.15388525856866,43.66047346103907,38.47809275231828,35.161605834960945,26.961311675159184,25.02190050813887,11.204861260922492,11.627339396211836
p26-0011-0085-0430,13,62.0,11,35.604356088945934,35.604356088945934,42.138375630505685,37.90549404464143,35.28417587280273,27.725006349640225,25.02302065203267,12.80353396291397,13.038333458285177
p26-0011-0085-0462,14,105.0,14,36.70951332818894,36.70951332818894,48.24851120736112,41.19612459255645,36.48807907104492,23.61992171969865,21.52033918925694,11.579515113722962,11.207282815660749
p26-0011-0085-0495,15,104.0,15,38.989353289970985,38.989353289970985,53.01775107636571,44.09535855547717,38.45517349243164,25.930919874512544,22.92153693620975,10.892248650308423,9.949017588622297
p26-0011-0084-0526,16,71.0,11,41.30131544193751,41.30131544193751,56.72877054890424,47.07432145237823,39.295745849609375,25.286157644954564,22.517351451054424,14.74923549445872,14.320666279591306
p26-0011-0084-0558,17,86.0,12,49.228663998980856,49.228663998980856,58.68575347387574,53.757055736910495,49.139122009277344,24.628705191945834,25.26752546221711,13.270736849892263,14.524922897649367
p26-0011-0094-0589,18,73.0,9,41.70629522245224,41.70629522245224,51.20572984954026,46.327768706926136,41.692684173583984,22.87118559932653,20.622417619783587,13.01923032850432,12.08350693403858
p26-0011-0094-0622,19,103.0,16,43.507981513310405,43.507981513310405,51.11150474574534,47.31350825431919,43.67493057250977,24.636984725934642,22.042812544165304,13.994602710986484,13.856282361502789
p26-0011-0096-0654,20,89.0,14,42.76495586352402,42.76495586352402,54.061475303017176,48.84285416975985,43.77603530883789,22.667874646687498,19.493556764688385,13.027107561773054,11.543527304289045
p26-0011-0097-0686,21,124.0,15,45.789420635469504,45.789420635469504,59.74397387034179,52.34367917998664,46.26345443725586,19.03260214894736,17.918496114592394,12.950550350490145,12.805689722539913
p26-0011-0092-0716,22,78.0,11,46.84018345368214,46.84018345368214,59.07715005887003,51.95953067989964,46.30036926269531,22.25878398923743,22.281745018103184,15.473812695609727,14.903708286774464
p26-0011-0094-0750,23,151.0,15,47.02082348501446,47.02082348501446,61.483514248094245,53.96725019922225,47.20323944091797,21.181922357681003,21.36086584637497,13.00985276764289,13.001970512582764
p26-0011-0096-0781,24,130.0,17,48.706620275057276,48.706620275057276,61.44727382355772,55.764775256233094,48.59432983398438,23.213275658202573,22.80642389609264,14.0262848941292,13.943455055126774
p26-0011-0094-0815,25,117.0,16,42.82044358538767,42.82044358538767,56.40260672807565,48.813861830130655,42.82876205444336,20.622872201920643,19.586596793598602,13.582016039298715,12.418940411164213
p26-0011-0092-0847,26,162.0,19,44.42268293875235,44.42268293875235,61.650220200962174,50.415688594644365,44.523536682128906,19.150896510444852,18.001550772399813,13.354671748506448,11.946600592062795
p26-0011-0095-0877,27,60.0,11,50.62846542994182,50.62846542994182,59.7584700401564,56.105435246876276,51.03923797607422,26.424046849920508,27.26649920145671,15.168953559143093,15.244164482752485
p26-0011-0096-0909,28,60.0,11,51.49305788675943,51.49305788675943,66.28899454163533,58.43931858702747,52.9825553894043,24.62819989218448,26.075357691446943,16.724415990197723,17.884490577379857
p26-0011-0096-0941,29,52.0,10,48.065412814800546,48.065412814800546,65.28875882442769,58.00443349258936,49.06047439575195,25.720686379320014,25.191540100253548,18.45353181683374,17.115355283021927
p26-0011-0096-0974,30,127.0,15,41.14258006238562,41.14258006238562,53.52511701987685,46.85687890515917,40.17090225219727,20.74129797079718,18.27574542845328,15.148517505291672,13.001422093609186
p26-0011-0095-1006,31,76.0,11,56.58531148810136,56.58531148810136,68.63012596669383,61.07037340837803,57.2723388671875,24.265179813959417,25.91853992562545,20.117183384238754,20.95095301233232
p26-0011-0094-1038,32,183.0,18,46.778305939637896,46.778305939637896,57.94644881333095,51.80732089684631,47.23220825195313,20.13116131229416,20.46908559564684,15.829687162211275,15.733621905898788
p26-0011-0097-1069,33,129.0,13,47.88463512686796,47.88463512686796,63.310031644734295,52.64085066118603,46.9051628112793,22.47165422531692,22.493135178967037,16.813948545380534,15.697600369652115
p26-0011-0096-1101,34,147.0,19,48.953805054126136,48.953805054126136,61.84591849345932,55.032718680595615,49.12478256225586,19.681277527648245,20.596677231950824,18.23038871574957,18.132296565438615
p26-0011-0098-1133,35,163.0,21,48.01074435228219,48.01074435228219,63.759412908986995,53.52511701987685,48.08251190185547,20.067791971561828,20.524278741672724,17.272790651228778,17.509344917864887
p26-0011-0100-1166,36,119.0,16,45.123920200251725,45.123920200251725,57.93920072842364,50.9810392174139,44.63069915771485,23.457290614672534,21.49554053074172,16.971005626118274,15.176497048690539
p26-0011-0098-1197,37,119.0,16,51.646147014714096,51.646147014714096,64.04933630527907,58.71474581350493,53.65644454956055,20.033482144981765,21.03254163565756,16.23956087286789,16.917267081116428
p26-0011-0097-1229,38,161.0,18,52.86717746568762,52.86717746568762,66.87608941912679,58.823467087114466,54.47045135498047,18.57194160517885,19.53312747300782,17.975855804585446,17.809747650849157
p26-0011-0095-1262,39,138.0,19,53.13295199905617,53.13295199905617,71.7685467315555,60.497774700701186,52.87109375,20.708729288612645,20.851039917572685,17.868554084272553,19.127662175537452
p26-0011-0098-1293,40,147.0,18,48.78381910778228,48.78381910778228,60.06288960626308,54.01073870866605,50.05823135375977,20.466856437142606,20.36906365350801,19.785101667290128,18.41630629708572
