,cell name,mortality,status
0,14-9-AH,30,1
1,24-5-A,30,1
2,15-1-A,31,1
3,24-17-CTH,32,1
4,27-17-BT,33,1
5,21-11-A,33,1
6,4-3-A,33,1
7,1-8-AH,34,2
8,21-18-CHH,35,1
9,27-7-AT,37,1
10,29-17-AH,38,1
11,21-6-AH,38,1
12,6-5-ATT,40,2
13,28-12-AHT,40,1
14,1-6-BT,40,2
15,24-2-ATH,40,1
16,28-12-AHH,41,1
17,20-16-AT,42,1
18,24-15-ATH,42,1
19,1-12-AH,42,1
20,7-5-AT,43,1
21,29-8-AT,44,1
22,27-8-CHT,45,1
23,16-12-AT,45,1
24,28-2-AHH,46,1
25,25-13-AH,46,1
26,16-16-AT,46,1
27,3-9-B,47,1
28,7-10-AHTT,47,1
29,28-2-AHT,48,1
30,20-2-AT,48,1
31,6-2-ATH,49,2
32,13-13-BH,49,1
33,11-18-AH,49,1
34,29-12-AT,49,1
35,6-4-B,49,1
36,14-4-AH,49,1
37,27-18-AT,50,1
38,1-12-BT,50,2
39,15-6-ATT,50,1
40,7-9-AH,50,1
41,8-15-AH,51,2
42,27-8-CHH,51,1
43,25-2-BHT,52,1
44,5-1-AT,52,1
45,22-11-BT,52,1
46,29-9-AHH,53,1
47,20-8-BT,53,1
48,26-13-AT,53,1
49,22-2-BHT,54,1
50,24-13-BHH,54,1
51,24-17-CTT,54,1
52,22-18-BT,54,1
53,11-4-AH,55,1
54,26-5-A,55,1
55,28-4-BH,55,1
56,3-10-AT,56,2
57,25-2-BTH,57,1
58,21-16-BT,57,1
59,27-7-BHT,58,1
60,25-7-ATHT,58,1
61,11-18-ATH,58,1
62,27-18-AH,58,1
63,29-9-ATT,59,1
64,28-9-ATT,59,1
65,3-8-A,59,2
66,29-2-AH,59,1
67,27-3-BT,60,1
68,22-2-BHH,60,1
69,26-6-AT,60,1
70,25-13-BT,61,1
71,27-2-BTH,61,1
72,22-18-BH,61,1
73,26-4-BTT,61,1
74,25-13-BH,61,1
75,17-10-ATH,61,1
76,25-7-ATHH,61,1
77,18-14-BTH,61,1
78,14-2-BT,62,1
79,6-9-A,62,1
80,18-6-BTH,62,1
81,8-6-AT,62,1
82,3-1-AT,63,1
83,1-8-AT,63,1
84,5-11-AT,63,1
85,27-17-BH,63,1
86,28-1-AH,63,1
87,23-7-ATT,63,1
88,29-9-ATH,64,1
89,29-12-AH,64,1
90,20-18-BHT,64,1
91,14-12-BTT,65,1
92,25-7-ATT,65,1
93,21-10-BH,65,2
94,4-8-AT,65,2
95,15-16-BTH,65,1
96,15-16-BH,65,1
97,22-17-AHH,65,1
98,24-15-ATT,65,1
99,8-3-AHTH,66,1
100,25-2-BHH,66,1
101,27-5-A,66,1
102,11-4-BH,66,1
103,29-13-BT,66,1
104,24-2-ATT,67,1
105,21-15-BT,67,1
106,16-13-BHH,67,1
107,19-18-BT,67,1
108,8-3-AHTT,67,1
109,26-6-BH,67,1
