,cell name,20h-25h,25h-30h,30h-35h,35h-40h,40h-45h,45h-50h,50h-55h,55h-60h,60h-65h,65h-70h
0,23-8-B,27.148,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1,21-1-AH,0.218,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2,17-11-AT,0.102,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
3,29-17-BH,0.418,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
4,27-11-AH,7.495,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
5,25-11-AT,0.043,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
6,27-1-A,0.866,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
7,24-12-BT,3.935,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
8,27-16-ATH,55.409,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
9,19-15-A,13.948,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
10,17-11-AH,17.463,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
11,28-7-A,58.368,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
12,23-5-AT,2.929,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
13,14-8-AT,3.41,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
14,11-1-A,24.114,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
15,24-14-A,7.117,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
16,1-5-AT,7.533,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
17,4-11-A,17.688,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
18,20-13-AT,1.364,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
19,4-13-AH,1.326,10.148,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
20,13-9-AT,11.161,32.706,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
21,18-18-A,1.248,12.58,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
22,23-9-BH,0.29,46.435,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
23,21-3-AT,0.379,13.667,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
24,22-12-A,2.526,9.858,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
25,16-14-AH,2.641,32.235,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
26,10-1-AH,12.261,36.552,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
27,20-4-AH,2.761,1.204,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
28,11-2-AH,0.317,7.007,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
29,16-13-A,1.151,30.069,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
30,20-4-AT,1.162,19.487,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
31,23-6-A,8.939,25.94,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
32,26-9-CT,1.569,30.865,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
33,19-18-A,1.237,3.331,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
34,13-18-A,0.817,10.616,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
35,16-14-AT,0.28,14.609,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
36,22-7-AT,4.877,10.548,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
37,25-9-AH,2.474,2.055,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
38,21-1-AT,0.026,20.591,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
