,cell name,21h-28h,28h-35h,35h-42h,42h-49h,49h-56h,56h-63h,63h-70h,70h-77h,77h-84h,84h-91h
0,14-9-AH,14.919,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1,24-5-A,14.374,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2,15-1-A,15.6,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
3,24-17-CTH,0.036,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
4,27-17-BT,14.899,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
5,21-11-A,15.856,13.815,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
6,4-3-A,3.074,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
7,1-8-AH,1.27,1.701,2.048,1.12,0.658,6.003,50.0,50.0,50.0,50.0
8,21-18-CHH,0.593,3.198,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
9,27-7-AT,16.941,14.282,13.65,50.0,50.0,50.0,50.0,50.0,50.0,50.0
10,29-17-AH,0.25,0.687,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
11,21-6-AH,2.102,22.898,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
12,6-5-ATT,0.473,0.359,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
13,28-12-AHT,3.506,5.568,3.606,50.0,50.0,50.0,50.0,50.0,50.0,50.0
14,1-6-BT,4.618,24.137,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
15,24-2-ATH,2.036,3.376,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
16,28-12-AHH,2.034,1.781,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
17,20-16-AT,1.717,0.927,13.252,9.211,4.144,4.838,3.258,50.0,50.0,50.0
18,24-15-ATH,0.797,1.453,18.721,50.0,50.0,50.0,50.0,50.0,50.0,50.0
