,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h
23-08-B,64.6,77.72,83.5,78.21,75.27,99.44,132.2,177.83,184.99,184.41,165.54,188.05,191.13,176.27,173.04,175.55,159.07,168.49,168.13,178.23,157.91,164.04,162.31,174.38,171.84,173.52,182.33,168.16,174.06,172.38,175.16,174.64,174.22,176.95,168.48,158.29,167.16,169.92,162.84,165.08,170.1,165.78,164.28,168.07,157.96
21-01-AH,40.0,42.74,42.09,41.43,39.21,37.12,41.91,317.84,331.53,336.82,291.27,328.05,337.04,322.16,295.7,320.07,269.32,322.39,302.66,320.78,247.96,308.06,258.06,296.55,287.34,301.57,291.33,293.39,290.76,301.58,295.44,290.13,293.21,293.9,287.37,288.8,293.43,283.06,272.37,282.15,284.05,269.06,274.4,274.05,265.12
17-11-AT,36.69,36.67,40.13,35.56,37.38,36.67,37.71,46.54,219.57,200.67,156.04,168.02,164.29,147.26,132.22,142.54,128.21,127.88,110.04,118.23,97.88,113.92,102.8,117.83,119.25,111.9,117.47,112.06,113.64,106.28,109.55,109.61,106.54,108.11,107.08,105.29,103.61,102.57,102.5,102.85,98.63,100.18,102.47,97.12,100.47
29-17-BH,80.31,92.97,108.83,117.91,141.01,129.94,119.95,136.73,154.08,126.69,129.54,150.44,155.87,140.37,166.68,196.4,184.3,185.83,193.92,267.0,181.98,218.75,233.01,194.66,191.53,182.85,214.48,190.76,189.57,200.77,220.75,216.89,192.02,215.64,195.4,187.75,195.63,184.27,190.18,179.26,184.77,164.27,189.08,178.05,170.86
27-11-AH,50.93,54.86,54.92,54.94,55.39,51.04,49.48,57.62,292.21,266.85,221.61,270.22,250.12,220.7,210.01,224.31,192.08,230.56,216.44,220.54,205.41,202.6,204.92,215.58,214.61,203.82,200.4,204.89,203.82,210.15,203.53,204.8,194.66,198.78,201.24,192.24,193.63,188.28,195.5,179.47,182.98,183.22,182.05,190.71,189.87
25-11-AT,30.48,32.69,33.03,33.17,33.22,31.06,35.79,45.67,138.67,254.54,130.85,154.03,146.01,99.27,94.81,90.8,74.62,76.58,75.54,74.95,66.29,63.74,63.98,66.6,66.98,62.13,65.8,64.51,66.62,64.04,61.3,62.2,66.07,60.58,58.89,59.81,52.25,52.17,48.41,48.32,48.54,51.55,49.22,46.59,48.88
27-01-A,35.86,40.75,43.66,43.19,45.09,41.83,40.35,47.45,57.03,166.49,113.95,124.79,107.68,94.25,89.0,89.37,75.4,82.37,76.49,69.51,64.04,66.95,60.89,62.82,60.47,60.39,59.35,58.29,58.32,60.56,58.46,57.28,55.59,55.01,56.07,54.24,53.22,53.29,53.81,49.88,52.87,55.48,50.16,54.86,56.86
24-12-BT,39.98,42.6,41.04,42.4,43.06,36.33,37.43,40.65,47.27,145.67,123.54,141.18,143.03,127.61,126.39,141.81,123.68,137.83,131.99,141.8,124.74,122.92,125.63,130.97,125.28,123.54,120.39,121.28,124.65,117.43,117.56,119.11,121.46,117.69,116.34,116.46,109.62,108.8,107.96,110.15,105.98,113.56,106.65,106.0,102.08
27-16-ATH,39.69,47.33,49.44,46.4,44.89,42.79,37.31,41.96,44.08,141.84,190.35,247.56,214.64,195.72,186.94,190.6,155.28,185.93,180.39,183.83,167.66,161.96,157.96,161.34,158.53,151.71,147.0,146.18,147.26,158.57,149.72,149.42,142.63,148.81,152.43,143.14,143.85,138.88,143.98,137.95,129.8,136.64,133.38,139.62,136.73
19-15-A,51.72,52.2,54.44,48.5,48.36,44.41,42.3,50.61,50.98,63.89,153.79,241.57,249.1,225.36,214.49,229.17,196.39,213.35,209.68,219.48,173.73,222.91,174.84,201.45,195.01,199.89,191.09,198.82,196.88,203.54,198.65,208.79,200.51,196.63,190.78,201.26,195.21,193.57,197.58,193.96,176.89,191.61,183.39,181.6,202.87
