,cell_index,name,age,X,signal_level,dz/dt,time_win_left,time_win_right,mortality,status
0,0,01-06-AH,3.5,52.408019047376314,0.5162014079072546,0.16921050015420988,0,7,24,2
1,1,01-06-AT,3.5,54.14055402878593,0.5137751002745558,0.17562987514658265,0,7,30,2
2,2,01-06-BH,3.5,7.307536000624849,0.09651847691713651,0.1261854419663527,0,7,89,1
3,2,01-06-BH,10.5,3.356347645399791,0.1515477078769925,0.03691189276761232,7,14,89,1
4,2,01-06-BH,17.5,2.354166799382717,0.19395354286898114,0.02022964506997943,14,21,89,1
5,2,01-06-BH,24.5,1.1938643642877798,0.21340724112869672,0.009323835170521162,21,28,89,1
6,2,01-06-BH,31.5,0.05378943639322394,0.22224272792995842,0.000403383550455819,28,35,89,1
7,2,01-06-BH,38.5,0.9098515730211587,0.22862808996902523,0.006632690185068877,35,42,89,1
8,2,01-06-BH,45.5,0.7517643473610341,0.24883969308969336,0.005035131507268975,42,49,89,1
9,2,01-06-BH,52.5,10.596235682729247,0.32105788070433583,0.055006881518701325,49,56,89,1
10,2,01-06-BH,59.5,-0.2178198301782216,0.4267477640456004,-0.0008506970179654976,56,63,89,1
11,2,01-06-BH,66.5,-1.6624074687907553,0.40416422412195624,-0.006855329960662745,63,70,89,1
12,2,01-06-BH,73.5,0.3454005687505387,0.39240616729515027,0.0014670197936803575,70,77,89,1
13,2,01-06-BH,80.5,7.116515515463108,0.43603656366340815,0.027201524323529725,77,84,89,1
14,2,01-06-BH,87.5,13.929536564748737,0.6395042455862361,0.03630295566419442,84,91,89,1
16,3,01-06-BT,3.5,31.646157524165808,0.3893672585594223,0.13545976122581543,0,7,39,2
17,3,01-06-BT,10.5,10.907535936945104,0.6385765455542979,0.02846835933473758,7,14,39,2
18,3,01-06-BT,17.5,6.945406797111898,0.8337619492494073,0.013883672678523504,14,21,39,2
19,3,01-06-BT,24.5,0.5060628577385099,0.9129190519907266,0.0009238914385581443,21,28,39,2
20,3,01-06-BT,31.5,0.3829598796781965,0.8703792233540486,0.0007333199701972856,28,35,39,2
21,4,01-08-AH,3.5,30.82597946038044,0.308827339501196,0.1663603763738943,0,7,33,2
22,4,01-08-AH,10.5,9.915412561387418,0.47283285879250936,0.03495037896586675,7,14,33,2
23,4,01-08-AH,17.5,7.759084625218359,0.6738417568910459,0.01919116406255634,14,21,33,2
